timestamp,open,high,low,close,volume
2026-01-23 09:00:00,1.350135,1.35034,1.34984,1.350205,1611
2026-01-23 09:05:00,1.350215,1.350635,1.349945,1.35053,2208
2026-01-23 09:10:00,1.35053,1.35066,1.350055,1.35014,1450
2026-01-23 09:15:00,1.35014,1.35037,1.35004,1.350265,1102
2026-01-23 09:20:00,1.35027,1.350645,1.35027,1.35037,1046
2026-01-23 09:25:00,1.35037,1.350765,1.35033,1.35043,1103
2026-01-23 09:30:00,1.350425,1.352495,1.350425,1.351575,2253
2026-01-23 09:35:00,1.35158,1.35188,1.351145,1.35165,1297
2026-01-23 09:40:00,1.35164,1.352655,1.351615,1.35265,1531
2026-01-23 09:45:00,1.352655,1.353185,1.352645,1.35298,2014
2026-01-23 09:50:00,1.352975,1.35321,1.35281,1.35309,1816
2026-01-23 09:55:00,1.353085,1.353465,1.3528,1.35298,1638
2026-01-23 10:00:00,1.352985,1.35301,1.352435,1.35276,1533
2026-01-23 10:05:00,1.352765,1.353435,1.35265,1.353255,1372
2026-01-23 10:10:00,1.35326,1.353375,1.352695,1.35272,766
2026-01-23 10:15:00,1.352715,1.352785,1.352545,1.35276,1050
2026-01-23 10:20:00,1.352755,1.35338,1.35273,1.35336,1392
2026-01-23 10:25:00,1.35336,1.35345,1.353055,1.3534,1039
2026-01-23 10:30:00,1.3534,1.35368,1.35327,1.353455,1263
2026-01-23 10:35:00,1.35345,1.353535,1.35294,1.353065,1076
2026-01-23 10:40:00,1.35306,1.35316,1.35278,1.352795,712
2026-01-23 10:45:00,1.35279,1.352935,1.352755,1.352845,1030
2026-01-23 10:50:00,1.35284,1.353,1.352555,1.352655,1050
2026-01-23 10:55:00,1.352645,1.3527,1.35224,1.352675,1178
2026-01-23 11:00:00,1.35268,1.352915,1.352465,1.352675,1431
2026-01-23 11:05:00,1.35267,1.353,1.35224,1.35278,786
2026-01-23 11:10:00,1.352775,1.352995,1.35266,1.352855,902
2026-01-23 11:15:00,1.35286,1.35291,1.351505,1.352425,1328
2026-01-23 11:20:00,1.35243,1.35267,1.35208,1.35225,1443
2026-01-23 11:25:00,1.352255,1.352625,1.35213,1.35261,967
2026-01-23 11:30:00,1.352605,1.35302,1.35247,1.35293,1067
2026-01-23 11:35:00,1.35292,1.353235,1.352845,1.35317,887
2026-01-23 11:40:00,1.353165,1.35318,1.352405,1.352575,716
2026-01-23 11:45:00,1.35257,1.3531,1.352435,1.353055,658
2026-01-23 11:50:00,1.353055,1.353155,1.35198,1.352045,1811
2026-01-23 11:55:00,1.35205,1.35231,1.351405,1.35179,2464
2026-01-23 12:00:00,1.351795,1.35234,1.351775,1.351875,2137
2026-01-23 12:05:00,1.35188,1.352265,1.351845,1.352085,932
2026-01-23 12:10:00,1.35209,1.352425,1.35199,1.35229,554
2026-01-23 12:15:00,1.352285,1.352635,1.35219,1.35256,823
2026-01-23 12:20:00,1.35256,1.35268,1.35237,1.352445,526
2026-01-23 12:25:00,1.35245,1.352515,1.352255,1.352335,564
2026-01-23 12:30:00,1.352335,1.35256,1.352225,1.35244,1014
2026-01-23 12:35:00,1.352435,1.35298,1.352435,1.35296,560
2026-01-23 12:40:00,1.35297,1.353045,1.35269,1.352855,1012
2026-01-23 12:45:00,1.35286,1.35321,1.352805,1.35304,1112
2026-01-23 12:50:00,1.353045,1.353045,1.35275,1.352985,793
2026-01-23 12:55:00,1.35299,1.35312,1.352655,1.35285,833
2026-01-23 13:00:00,1.352845,1.35321,1.35265,1.3528,1585
2026-01-23 13:05:00,1.35281,1.353095,1.35265,1.35266,1235
2026-01-23 13:10:00,1.352665,1.353215,1.352625,1.35319,1322
2026-01-23 13:15:00,1.35319,1.353465,1.35308,1.353385,1733
