timestamp,open,high,low,close,volume,price_change,spike_detected,anomaly_type,log_timestamp
2026-07-28 21:32:00,1.334005,1.334155,1.333465,1.333465,0,-0.00038980948061639875,True,spike,2026-07-29 06:06:02
2026-07-28 21:33:00,1.333445,1.333485,1.332935,1.333115,0,-0.00026247408068447164,True,spike,2026-07-29 06:06:02
2026-07-28 21:35:00,1.333045,1.333205,1.332795,1.333165,0,9.752182050726255e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:36:00,1.333155,1.333705,1.333075,1.333705,0,0.0004050511377060584,True,spike,2026-07-29 06:06:02
2026-07-28 21:38:00,1.333665,1.333765,1.333105,1.333285,0,-0.00027743306927197064,True,spike,2026-07-29 06:06:02
2026-07-28 21:39:00,1.333305,1.333485,1.333215,1.333415,0,9.75035345029962e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:40:00,1.333435,1.333525,1.333125,1.333125,0,-0.000217486678941059,True,spike,2026-07-29 06:06:02
2026-07-28 21:41:00,1.333135,1.334145,1.333065,1.334145,0,0.0007651195499296382,True,spike,2026-07-29 06:06:02
2026-07-28 21:42:00,1.334165,1.334515,1.334155,1.334305,0,0.0001199269944422987,True,spike,2026-07-29 06:06:02
2026-07-28 21:43:00,1.334335,1.334555,1.334025,1.334115,0,-0.0001423962287484537,True,spike,2026-07-29 06:06:02
2026-07-28 21:46:00,1.334075,1.334075,1.333495,1.333665,0,-0.00029234177001691286,True,spike,2026-07-29 06:06:02
2026-07-28 21:47:00,1.333665,1.334235,1.333655,1.334035,0,0.00027743098904142727,True,spike,2026-07-29 06:06:02
2026-07-28 21:48:00,1.334045,1.334055,1.333725,1.333885,0,-0.00011244082801431521,True,spike,2026-07-29 06:06:02
2026-07-28 21:49:00,1.333905,1.334105,1.333625,1.334025,0,0.00010495657421749627,True,spike,2026-07-29 06:06:02
2026-07-28 21:50:00,1.334035,1.334335,1.333865,1.334155,0,9.7449448098752e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:51:00,1.334165,1.334615,1.334145,1.334555,0,0.0002998152388589137,True,spike,2026-07-29 06:06:02
2026-07-28 21:53:00,1.334465,1.334465,1.334025,1.334035,0,-0.00034469968040340415,True,spike,2026-07-29 06:06:02
2026-07-28 21:54:00,1.334045,1.334365,1.334015,1.334305,0,0.00020239349042561194,True,spike,2026-07-29 06:06:02
2026-07-28 21:55:00,1.334315,1.335155,1.334315,1.335115,0,0.0006070576067691569,True,spike,2026-07-29 06:06:02
2026-07-28 21:57:00,1.335025,1.335495,1.334685,1.335225,0,0.00014980992865321063,True,spike,2026-07-29 06:06:02
2026-07-28 21:58:00,1.335215,1.335665,1.335075,1.335545,0,0.00023965998239994235,True,spike,2026-07-29 06:06:02
2026-07-28 21:59:00,1.335535,1.335595,1.335225,1.335255,0,-0.00021713981932458548,True,spike,2026-07-29 06:06:02
2026-07-28 22:01:00,1.335315,1.335595,1.334735,1.334775,0,-0.0004193704201566062,True,spike,2026-07-29 06:06:02
2026-07-28 22:02:00,1.334785,1.335315,1.334775,1.335295,0,0.00038957876795708835,True,spike,2026-07-29 06:06:02
2026-07-28 22:03:00,1.335285,1.335935,1.335285,1.335825,0,0.0003969160372803149,True,spike,2026-07-29 06:06:02
2026-07-28 22:04:00,1.335775,1.336395,1.335775,1.336385,0,0.0004192165889991273,True,spike,2026-07-29 06:06:02
2026-07-28 22:06:00,1.336365,1.336495,1.335955,1.336055,0,-0.00023945374614164905,True,spike,2026-07-29 06:06:02
2026-07-28 22:07:00,1.336035,1.336535,1.335875,1.336425,0,0.0002769347070292749,True,spike,2026-07-29 06:06:02
2026-07-28 22:08:00,1.336345,1.336355,1.335565,1.335835,0,-0.0004414763267671651,True,spike,2026-07-29 06:06:02
2026-07-28 22:09:00,1.335845,1.335965,1.335605,1.335955,0,8.983145373475665e-05,True,spike,2026-07-29 06:06:02
2026-07-28 22:10:00,1.335965,1.336315,1.335865,1.336145,0,0.0001422203592185145,True,spike,2026-07-29 06:06:02
2026-07-28 22:11:00,1.336125,1.336155,1.335695,1.335705,0,-0.00032930557686483564,True,spike,2026-07-29 06:06:02
2026-07-28 22:13:00,1.335745,1.336175,1.335715,1.335975,0,0.0001647008620591084,True,spike,2026-07-29 06:06:02
2026-07-28 22:14:00,1.335995,1.336165,1.335445,1.335565,0,-0.0003068919702838846,True,spike,2026-07-29 06:06:02
2026-07-28 22:15:00,1.335545,1.336075,1.335235,1.336005,0,0.0003294485854303808,True,spike,2026-07-29 06:06:02
2026-07-28 22:16:00,1.335995,1.336275,1.335675,1.335675,0,-0.0002470050636039778,True,spike,2026-07-29 06:06:02
2026-07-28 22:17:00,1.335685,1.336115,1.335635,1.335925,0,0.00018717128043888032,True,spike,2026-07-29 06:06:02
2026-07-28 22:18:00,1.335935,1.336035,1.335515,1.335745,0,-0.0001347381028127259,True,spike,2026-07-29 06:06:02
2026-07-28 22:19:00,1.335755,1.335815,1.335145,1.335525,0,-0.00016470209508545608,True,spike,2026-07-29 06:06:02
2026-07-28 22:20:00,1.335515,1.335845,1.335295,1.335405,0,-8.98523052732525e-05,True,spike,2026-07-29 06:06:02
2026-07-28 22:21:00,1.335375,1.335845,1.335325,1.335515,0,8.2372014482468e-05,True,spike,2026-07-29 06:06:02
2026-07-28 22:22:00,1.335505,1.335775,1.335265,1.335405,0,-8.236522989257811e-05,True,spike,2026-07-29 06:06:02
2026-07-28 22:24:00,1.335435,1.335445,1.334925,1.335005,0,-0.0003070206639883555,True,spike,2026-07-29 06:06:02
2026-07-28 22:25:00,1.334985,1.335115,1.334635,1.335105,0,7.490608649396435e-05,True,spike,2026-07-29 06:06:02
2026-07-28 22:26:00,1.335085,1.335735,1.335055,1.335695,0,0.0004419128083559265,True,spike,2026-07-29 06:06:02
2026-07-28 22:27:00,1.335685,1.335995,1.335385,1.335955,0,0.00019465521694694843,True,spike,2026-07-29 06:06:02
2026-07-28 22:28:00,1.335905,1.336055,1.335655,1.335835,0,-8.982338476959395e-05,True,spike,2026-07-29 06:06:02
2026-07-28 22:29:00,1.335855,1.336015,1.335355,1.335485,0,-0.0002620084067269657,True,spike,2026-07-29 06:06:02
2026-07-28 22:30:00,1.335455,1.336145,1.335425,1.335935,0,0.0003369562368726875,True,spike,2026-07-29 06:06:02
2026-07-28 22:32:00,1.335945,1.336005,1.335645,1.335825,0,-8.233933537193927e-05,True,spike,2026-07-29 06:06:02
2026-07-28 22:33:00,1.335815,1.335815,1.335195,1.335605,0,-0.0001646922313927046,True,spike,2026-07-29 06:06:02
2026-07-28 22:34:00,1.335615,1.335765,1.335175,1.335395,0,-0.00015723211578255736,True,spike,2026-07-29 06:06:02
2026-07-28 22:35:00,1.335385,1.335485,1.334555,1.334775,0,-0.00046428210379700907,True,spike,2026-07-29 06:06:02
2026-07-28 22:36:00,1.334735,1.335135,1.334645,1.335025,0,0.00018729748459467288,True,spike,2026-07-29 06:06:02
2026-07-28 22:38:00,1.335035,1.335325,1.334985,1.335305,0,0.00019474998970059332,True,spike,2026-07-29 06:06:02
2026-07-28 22:39:00,1.335285,1.335295,1.333985,1.334305,0,-0.000748892575104465,True,spike,2026-07-29 06:06:02
2026-07-28 22:40:00,1.334305,1.334385,1.333915,1.333925,0,-0.00028479245749668536,True,spike,2026-07-29 06:06:02
2026-07-28 22:41:00,1.333915,1.333995,1.333295,1.333305,0,-0.00046479374777452787,True,spike,2026-07-29 06:06:02
2026-07-28 22:44:00,1.333325,1.333435,1.332655,1.332785,0,-0.0003975054657000543,True,spike,2026-07-29 06:06:02
2026-07-28 22:45:00,1.332795,1.333265,1.332745,1.333055,0,0.00020258331238731664,True,spike,2026-07-29 06:06:02
2026-07-28 22:46:00,1.333035,1.333035,1.332705,1.332755,0,-0.0002250469785569642,True,spike,2026-07-29 06:06:02
2026-07-28 22:48:00,1.332825,1.333475,1.332695,1.333255,0,0.00033763378738838057,True,spike,2026-07-29 06:06:02
2026-07-28 22:49:00,1.333265,1.333855,1.333175,1.333845,0,0.0004425259984022212,True,spike,2026-07-29 06:06:02
2026-07-28 22:53:00,1.333665,1.334345,1.333665,1.334195,0,0.00038990008810246835,True,spike,2026-07-29 06:06:02
2026-07-28 22:54:00,1.334205,1.334265,1.333855,1.333935,0,-0.00019487406263696272,True,spike,2026-07-29 06:06:02
2026-07-28 22:55:00,1.333945,1.334095,1.333665,1.333695,0,-0.00017991881163625933,True,spike,2026-07-29 06:06:02
2026-07-28 22:57:00,1.333745,1.334225,1.333705,1.334215,0,0.00035989158266080956,True,spike,2026-07-29 06:06:02
2026-07-28 22:58:00,1.334205,1.334705,1.334165,1.334705,0,0.00036725715120877744,True,spike,2026-07-29 06:06:02
2026-07-28 22:59:00,1.334695,1.334715,1.334095,1.334175,0,-0.00039709149212741046,True,spike,2026-07-29 06:06:02
2026-07-28 23:00:00,1.334255,1.334765,1.334055,1.334555,0,0.0002848202072440742,True,spike,2026-07-29 06:06:02
2026-07-28 23:01:00,1.334565,1.334735,1.334295,1.334375,0,-0.00013487641948051188,True,spike,2026-07-29 06:06:02
2026-07-28 23:02:00,1.334325,1.334895,1.334325,1.334895,0,0.0003896955503512878,True,spike,2026-07-29 06:06:02
2026-07-28 23:03:00,1.334875,1.334915,1.334125,1.334215,0,-0.0005094033613131099,True,spike,2026-07-29 06:06:02
2026-07-28 23:04:00,1.334225,1.334655,1.334225,1.334385,0,0.00012741574633778896,True,spike,2026-07-29 06:06:02
2026-07-28 21:32:00,1.334005,1.334155,1.333465,1.333465,0,-0.00038980948061639875,True,spike,2026-07-29 06:06:03
2026-07-28 21:33:00,1.333445,1.333485,1.332935,1.333115,0,-0.00026247408068447164,True,spike,2026-07-29 06:06:03
2026-07-28 21:35:00,1.333045,1.333205,1.332795,1.333165,0,9.752182050726255e-05,True,spike,2026-07-29 06:06:03
2026-07-28 21:36:00,1.333155,1.333705,1.333075,1.333705,0,0.0004050511377060584,True,spike,2026-07-29 06:06:03
2026-07-28 21:38:00,1.333665,1.333765,1.333105,1.333285,0,-0.00027743306927197064,True,spike,2026-07-29 06:06:03
2026-07-28 21:39:00,1.333305,1.333485,1.333215,1.333415,0,9.75035345029962e-05,True,spike,2026-07-29 06:06:03
2026-07-28 21:40:00,1.333435,1.333525,1.333125,1.333125,0,-0.000217486678941059,True,spike,2026-07-29 06:06:03
2026-07-28 21:41:00,1.333135,1.334145,1.333065,1.334145,0,0.0007651195499296382,True,spike,2026-07-29 06:06:03
2026-07-28 21:42:00,1.334165,1.334515,1.334155,1.334305,0,0.0001199269944422987,True,spike,2026-07-29 06:06:03
2026-07-28 21:43:00,1.334335,1.334555,1.334025,1.334115,0,-0.0001423962287484537,True,spike,2026-07-29 06:06:03
2026-07-28 21:46:00,1.334075,1.334075,1.333495,1.333665,0,-0.00029234177001691286,True,spike,2026-07-29 06:06:03
2026-07-28 21:47:00,1.333665,1.334235,1.333655,1.334035,0,0.00027743098904142727,True,spike,2026-07-29 06:06:03
2026-07-28 21:48:00,1.334045,1.334055,1.333725,1.333885,0,-0.00011244082801431521,True,spike,2026-07-29 06:06:03
2026-07-28 21:49:00,1.333905,1.334105,1.333625,1.334025,0,0.00010495657421749627,True,spike,2026-07-29 06:06:03
2026-07-28 21:50:00,1.334035,1.334335,1.333865,1.334155,0,9.7449448098752e-05,True,spike,2026-07-29 06:06:03
2026-07-28 21:51:00,1.334165,1.334615,1.334145,1.334555,0,0.0002998152388589137,True,spike,2026-07-29 06:06:03
2026-07-28 21:53:00,1.334465,1.334465,1.334025,1.334035,0,-0.00034469968040340415,True,spike,2026-07-29 06:06:03
2026-07-28 21:54:00,1.334045,1.334365,1.334015,1.334305,0,0.00020239349042561194,True,spike,2026-07-29 06:06:03
2026-07-28 21:55:00,1.334315,1.335155,1.334315,1.335115,0,0.0006070576067691569,True,spike,2026-07-29 06:06:03
2026-07-28 21:57:00,1.335025,1.335495,1.334685,1.335225,0,0.00014980992865321063,True,spike,2026-07-29 06:06:03
2026-07-28 21:58:00,1.335215,1.335665,1.335075,1.335545,0,0.00023965998239994235,True,spike,2026-07-29 06:06:03
2026-07-28 21:59:00,1.335535,1.335595,1.335225,1.335255,0,-0.00021713981932458548,True,spike,2026-07-29 06:06:03
2026-07-28 22:01:00,1.335315,1.335595,1.334735,1.334775,0,-0.0004193704201566062,True,spike,2026-07-29 06:06:03
2026-07-28 22:02:00,1.334785,1.335315,1.334775,1.335295,0,0.00038957876795708835,True,spike,2026-07-29 06:06:03
2026-07-28 22:03:00,1.335285,1.335935,1.335285,1.335825,0,0.0003969160372803149,True,spike,2026-07-29 06:06:03
2026-07-28 22:04:00,1.335775,1.336395,1.335775,1.336385,0,0.0004192165889991273,True,spike,2026-07-29 06:06:03
2026-07-28 22:06:00,1.336365,1.336495,1.335955,1.336055,0,-0.00023945374614164905,True,spike,2026-07-29 06:06:03
2026-07-28 22:07:00,1.336035,1.336535,1.335875,1.336425,0,0.0002769347070292749,True,spike,2026-07-29 06:06:03
2026-07-28 22:08:00,1.336345,1.336355,1.335565,1.335835,0,-0.0004414763267671651,True,spike,2026-07-29 06:06:03
2026-07-28 22:09:00,1.335845,1.335965,1.335605,1.335955,0,8.983145373475665e-05,True,spike,2026-07-29 06:06:03
2026-07-28 22:10:00,1.335965,1.336315,1.335865,1.336145,0,0.0001422203592185145,True,spike,2026-07-29 06:06:03
2026-07-28 22:11:00,1.336125,1.336155,1.335695,1.335705,0,-0.00032930557686483564,True,spike,2026-07-29 06:06:03
2026-07-28 22:13:00,1.335745,1.336175,1.335715,1.335975,0,0.0001647008620591084,True,spike,2026-07-29 06:06:03
2026-07-28 22:14:00,1.335995,1.336165,1.335445,1.335565,0,-0.0003068919702838846,True,spike,2026-07-29 06:06:03
2026-07-28 22:15:00,1.335545,1.336075,1.335235,1.336005,0,0.0003294485854303808,True,spike,2026-07-29 06:06:03
2026-07-28 22:16:00,1.335995,1.336275,1.335675,1.335675,0,-0.0002470050636039778,True,spike,2026-07-29 06:06:03
2026-07-28 22:17:00,1.335685,1.336115,1.335635,1.335925,0,0.00018717128043888032,True,spike,2026-07-29 06:06:03
2026-07-28 22:18:00,1.335935,1.336035,1.335515,1.335745,0,-0.0001347381028127259,True,spike,2026-07-29 06:06:03
