timestamp,open,high,low,close,volume,price_change,spike_detected,zero_volume_detected,zero_volume_streak,anomaly_type,log_timestamp
2026-07-28 21:32:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,1,zero_volume,2026-07-29 06:06:02
2026-07-28 21:33:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,2,zero_volume,2026-07-29 06:06:02
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,3,zero_volume,2026-07-29 06:06:02
2026-07-28 21:32:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,1,zero_volume,2026-07-29 06:06:02
2026-07-28 21:33:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,2,zero_volume,2026-07-29 06:06:02
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,3,zero_volume,2026-07-29 06:06:02
2026-07-28 21:32:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,1,zero_volume,2026-07-29 06:07:03
2026-07-28 21:33:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,2,zero_volume,2026-07-29 06:07:03
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,3,zero_volume,2026-07-29 06:07:03
2026-07-28 21:32:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,1,zero_volume,2026-07-29 06:07:03
2026-07-28 21:33:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,2,zero_volume,2026-07-29 06:07:03
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,3,zero_volume,2026-07-29 06:07:03
2026-07-28 21:32:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,1,zero_volume,2026-07-29 06:08:03
2026-07-28 21:33:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,2,zero_volume,2026-07-29 06:08:03
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,3,zero_volume,2026-07-29 06:08:03
2026-07-28 21:32:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,1,zero_volume,2026-07-29 06:08:03
2026-07-28 21:33:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,2,zero_volume,2026-07-29 06:08:03
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,3,zero_volume,2026-07-29 06:08:03
2026-07-28 21:32:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,1,zero_volume,2026-07-29 06:09:03
2026-07-28 21:33:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,2,zero_volume,2026-07-29 06:09:03
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,3,zero_volume,2026-07-29 06:09:03
2026-07-28 21:32:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,1,zero_volume,2026-07-29 06:09:03
2026-07-28 21:33:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,2,zero_volume,2026-07-29 06:09:03
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,3,zero_volume,2026-07-29 06:09:03
2026-07-28 21:32:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,1,zero_volume,2026-07-29 06:10:02
2026-07-28 21:33:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,2,zero_volume,2026-07-29 06:10:02
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,3,zero_volume,2026-07-29 06:10:02
2026-07-28 21:32:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,1,zero_volume,2026-07-29 06:10:02
2026-07-28 21:33:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,2,zero_volume,2026-07-29 06:10:02
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,3,zero_volume,2026-07-29 06:10:02
2026-07-28 21:32:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,1,zero_volume,2026-07-29 06:11:02
2026-07-28 21:33:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,2,zero_volume,2026-07-29 06:11:02
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,3,zero_volume,2026-07-29 06:11:02
2026-07-28 21:32:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,1,zero_volume,2026-07-29 06:11:03
2026-07-28 21:33:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,2,zero_volume,2026-07-29 06:11:03
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,3,zero_volume,2026-07-29 06:11:03
2026-07-28 21:32:00,1.139115,1.139115,1.139115,1.139115,0,,False,True,1,zero_volume,2026-07-29 06:12:02
2026-07-28 21:33:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,2,zero_volume,2026-07-29 06:12:02
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,3,zero_volume,2026-07-29 06:12:02
2026-07-28 21:32:00,1.139115,1.139115,1.139115,1.139115,0,,False,True,1,zero_volume,2026-07-29 06:12:03
2026-07-28 21:33:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,2,zero_volume,2026-07-29 06:12:03
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,3,zero_volume,2026-07-29 06:12:03
2026-07-28 21:33:00,1.139115,1.139115,1.139115,1.139115,0,,False,True,1,zero_volume,2026-07-29 06:13:03
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,2,zero_volume,2026-07-29 06:13:03
2026-07-28 21:33:00,1.139115,1.139115,1.139115,1.139115,0,,False,True,1,zero_volume,2026-07-29 06:13:03
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,0.0,False,True,2,zero_volume,2026-07-29 06:13:03
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,,False,True,1,zero_volume,2026-07-29 06:14:02
2026-07-28 21:34:00,1.139115,1.139115,1.139115,1.139115,0,,False,True,1,zero_volume,2026-07-29 06:14:03
