timestamp,open,high,low,close,volume,age,quality,price_change,spike_detected,anomaly_type,log_timestamp
2026-07-28 03:05:00,1.13771,1.13774,1.137605,1.137625,418,74175000,STALE,-7.471148183624265e-05,True,spike,2026-07-29 06:46:31
2026-07-28 03:10:00,1.13762,1.13762,1.1375,1.137565,619,73875000,STALE,-5.2741456982863255e-05,True,spike,2026-07-29 06:46:31
2026-07-28 03:15:00,1.137565,1.137745,1.137535,1.137695,639,73575000,STALE,0.00011427918404649517,True,spike,2026-07-29 06:46:31
2026-07-28 03:20:00,1.137695,1.13779,1.137665,1.137785,289,73275000,STALE,7.910731786653358e-05,True,spike,2026-07-29 06:46:31
2026-07-28 03:30:00,1.13777,1.138025,1.13777,1.13799,304,72675000,STALE,0.00019775612714423296,True,spike,2026-07-29 06:46:31
2026-07-28 03:35:00,1.13799,1.13799,1.137635,1.13772,548,72375000,STALE,-0.0002372604328684247,True,spike,2026-07-29 06:46:31
2026-07-28 03:40:00,1.137715,1.137735,1.13757,1.13762,536,72075000,STALE,-8.789508842244054e-05,True,spike,2026-07-29 06:46:31
2026-07-28 03:45:00,1.137615,1.13762,1.13752,1.13754,351,71775000,STALE,-7.032225171854645e-05,True,spike,2026-07-29 06:46:31
2026-07-28 04:00:00,1.137455,1.13746,1.13711,1.137185,647,70875000,STALE,-0.00024176674344589255,True,spike,2026-07-29 06:46:31
2026-07-28 04:10:00,1.137185,1.137225,1.13706,1.13707,466,70275000,STALE,-9.673050880254497e-05,True,spike,2026-07-29 06:46:31
2026-07-28 04:15:00,1.13707,1.1372,1.13701,1.137175,225,69975000,STALE,9.234259984003401e-05,True,spike,2026-07-29 06:46:31
2026-07-28 04:20:00,1.13718,1.137185,1.137025,1.137085,163,69675000,STALE,-7.914349154714007e-05,True,spike,2026-07-29 06:46:31
2026-07-28 04:35:00,1.13709,1.137115,1.13701,1.13704,138,68775000,STALE,-4.397189316573957e-05,True,spike,2026-07-29 06:46:31
2026-07-28 04:40:00,1.13704,1.137095,1.137015,1.137095,183,68475000,STALE,4.837120945611062e-05,True,spike,2026-07-29 06:46:31
