timestamp,open,high,low,close,volume,price_change,spike_detected,anomaly_type,log_timestamp
2026-07-28 21:31:00,0.85695,0.85695,0.856935,0.85695,12,-5.834612085808821e-06,True,spike,2026-07-29 06:06:02
2026-07-28 21:33:00,0.856945,0.85697,0.856935,0.85694,28,-1.1669292257376895e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:34:00,0.85694,0.85697,0.856935,0.856955,57,1.750414264711786e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:35:00,0.856955,0.85697,0.85694,0.856945,49,-1.1669224171728665e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:36:00,0.856945,0.856955,0.856935,0.85694,13,-5.834680171901141e-06,True,spike,2026-07-29 06:06:02
2026-07-28 21:38:00,0.856945,0.857,0.85694,0.856955,20,1.750414264711786e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:39:00,0.856955,0.85702,0.856955,0.857015,32,7.001534502970586e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:40:00,0.85701,0.857035,0.856985,0.857035,45,2.3336814408247974e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:41:00,0.85703,0.857045,0.85701,0.857045,19,1.1668134906939187e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:42:00,0.85704,0.85704,0.857005,0.857035,23,-1.1667998763176257e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:44:00,0.85704,0.85707,0.857025,0.85705,35,1.1668066834724655e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:45:00,0.857065,0.85708,0.856935,0.85694,59,-0.00012834723761734335,True,spike,2026-07-29 06:06:02
2026-07-28 21:46:00,0.85694,0.857055,0.85694,0.85705,27,0.00012836371274538294,True,spike,2026-07-29 06:06:02
2026-07-28 21:47:00,0.85704,0.857055,0.85698,0.85698,20,-8.167551484750124e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:48:00,0.85696,0.85706,0.85696,0.85705,31,8.16821862821282e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:50:00,0.85706,0.857075,0.857,0.857,24,-7.000676732094036e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:51:00,0.857,0.85701,0.856985,0.856985,25,-1.7502917152856234e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:52:00,0.856975,0.857035,0.856975,0.857025,26,4.667526269419575e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:56:00,0.85702,0.85705,0.856965,0.857005,155,-1.750250869292369e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:57:00,0.85701,0.857045,0.857,0.85704,26,4.083990175085539e-05,True,spike,2026-07-29 06:06:02
2026-07-28 21:58:00,0.857035,0.857035,0.857,0.857025,54,-1.750210025197596e-05,True,spike,2026-07-29 06:06:02
2026-07-28 22:00:00,0.85704,0.8571,0.85704,0.85705,112,1.7502202360519803e-05,True,spike,2026-07-29 06:06:02
2026-07-28 22:01:00,0.85705,0.857085,0.85703,0.857075,134,2.9169826731401116e-05,True,spike,2026-07-29 06:06:02
2026-07-28 22:02:00,0.85708,0.857085,0.85703,0.857045,56,-3.500277105283889e-05,True,spike,2026-07-29 06:06:02
2026-07-28 22:05:00,0.85703,0.85705,0.857015,0.85702,33,-3.500379207743709e-05,True,spike,2026-07-29 06:06:02
2026-07-28 22:06:00,0.85702,0.857025,0.856975,0.856985,35,-4.0839186950192286e-05,True,spike,2026-07-29 06:06:02
2026-07-28 22:07:00,0.856985,0.856995,0.85696,0.856975,21,-1.1668815673493427e-05,True,spike,2026-07-29 06:06:02
2026-07-28 22:09:00,0.85697,0.85701,0.85697,0.85701,20,4.6676079676011284e-05,True,spike,2026-07-29 06:06:02
2026-07-28 22:10:00,0.85701,0.85701,0.85699,0.857,25,-1.1668475280446344e-05,True,spike,2026-07-29 06:06:02
