timestamp,open,high,low,close,volume,price_change,spike_detected,zero_volume_detected,zero_volume_streak,anomaly_type,log_timestamp
2026-07-25 07:04:00,0.851395,0.851405,0.851025,0.851115,0,,False,True,0,zero_volume,2026-07-25 18:13:04
2026-07-25 07:05:00,0.851125,0.851465,0.851125,0.851455,0,0.0003994759815066917,False,True,1,zero_volume,2026-07-25 18:13:04
2026-07-25 07:06:00,0.851465,0.851575,0.851345,0.851575,0,0.00014093522264824188,False,True,2,zero_volume,2026-07-25 18:13:04
2026-07-25 07:07:00,0.851565,0.851615,0.851305,0.851595,0,2.348589378509125e-05,False,True,3,zero_volume,2026-07-25 18:13:04
2026-07-25 07:08:00,0.851605,0.851605,0.851095,0.851165,0,-0.0005049348575321133,False,True,4,zero_volume,2026-07-25 18:13:04
2026-07-25 07:09:00,0.851155,0.851235,0.851015,0.851095,0,-8.224022369329731e-05,False,True,5,zero_volume,2026-07-25 18:13:04
2026-07-25 07:10:00,0.851105,0.851345,0.851055,0.851235,0,0.0001644939754079644,False,True,6,zero_volume,2026-07-25 18:13:04
2026-07-25 07:11:00,0.851225,0.851255,0.851015,0.851145,0,-0.0001057287353080083,False,True,7,zero_volume,2026-07-25 18:13:04
2026-07-25 07:12:00,0.851135,0.851435,0.851085,0.851425,0,0.0003289686246172874,False,True,8,zero_volume,2026-07-25 18:13:04
2026-07-25 07:13:00,0.851415,0.851545,0.851355,0.851435,0,1.1745015709108131e-05,False,True,9,zero_volume,2026-07-25 18:13:04
2026-07-25 07:14:00,0.851405,0.851665,0.851375,0.851515,0,9.395902212139262e-05,False,True,10,zero_volume,2026-07-25 18:13:04
2026-07-25 07:15:00,0.851525,0.851875,0.851525,0.851875,0,0.0004227758759387523,False,True,11,zero_volume,2026-07-25 18:13:04
2026-07-25 07:16:00,0.851865,0.851885,0.851575,0.851735,0,-0.00016434336023485319,False,True,12,zero_volume,2026-07-25 18:13:04
2026-07-25 07:17:00,0.851725,0.851865,0.851685,0.851855,0,0.00014088889149799222,False,True,13,zero_volume,2026-07-25 18:13:04
2026-07-25 07:18:00,0.851865,0.851865,0.851685,0.851805,0,-5.86954352559399e-05,False,True,14,zero_volume,2026-07-25 18:13:04
2026-07-25 07:19:00,0.851785,0.851855,0.851665,0.851715,0,-0.00010565798510231428,False,True,15,zero_volume,2026-07-25 18:13:04
2026-07-25 07:20:00,0.851705,0.851965,0.851595,0.851635,0,-9.39281332370534e-05,False,True,16,zero_volume,2026-07-25 18:13:04
2026-07-25 07:21:00,0.851655,0.851715,0.851365,0.851435,0,-0.00023484239140003638,False,True,17,zero_volume,2026-07-25 18:13:04
2026-07-25 07:22:00,0.851425,0.851475,0.851275,0.851475,0,4.697951106069631e-05,False,True,18,zero_volume,2026-07-25 18:13:04
2026-07-25 07:23:00,0.851465,0.851545,0.851275,0.851325,0,-0.00017616489033733806,False,True,19,zero_volume,2026-07-25 18:13:04
2026-07-25 07:24:00,0.851365,0.851585,0.851345,0.851515,0,0.0002231815111737312,False,True,20,zero_volume,2026-07-25 18:13:04
2026-07-25 07:25:00,0.851525,0.851605,0.851265,0.851375,0,-0.0001644128406428358,False,True,21,zero_volume,2026-07-25 18:13:04
2026-07-25 07:26:00,0.851385,0.851385,0.850925,0.850955,0,-0.0004933196300102027,False,True,22,zero_volume,2026-07-25 18:13:04
2026-07-25 07:27:00,0.850945,0.851015,0.850825,0.850905,0,-5.8757513617058166e-05,False,True,23,zero_volume,2026-07-25 18:13:04
2026-07-25 07:28:00,0.850915,0.851135,0.850805,0.850845,0,-7.051315951844828e-05,False,True,24,zero_volume,2026-07-25 18:13:04
2026-07-25 07:29:00,0.850845,0.850945,0.850825,0.850855,0,1.175302199585282e-05,False,True,25,zero_volume,2026-07-25 18:13:04
2026-07-25 07:30:00,0.850875,0.850945,0.850635,0.850645,0,-0.00024681056114150834,False,True,26,zero_volume,2026-07-25 18:13:04
2026-07-25 07:31:00,0.850685,0.850695,0.850455,0.850485,0,-0.00018809256505347705,False,True,27,zero_volume,2026-07-25 18:13:04
2026-07-25 07:32:00,0.850495,0.850685,0.850485,0.850495,0,1.1757996907668655e-05,False,True,28,zero_volume,2026-07-25 18:13:04
2026-07-25 07:33:00,0.850495,0.850585,0.850395,0.850415,0,-9.406286927016172e-05,False,True,29,zero_volume,2026-07-25 18:13:04
2026-07-25 07:34:00,0.850435,0.850505,0.850325,0.850505,0,0.00010583068266667439,False,True,30,zero_volume,2026-07-25 18:13:04
2026-07-25 07:35:00,0.850495,0.850555,0.850395,0.850545,0,4.703088165269875e-05,False,True,31,zero_volume,2026-07-25 18:13:04
2026-07-25 07:36:00,0.850555,0.850705,0.850515,0.850705,0,0.00018811467941159954,False,True,32,zero_volume,2026-07-25 18:13:04
2026-07-25 07:37:00,0.850695,0.850695,0.850235,0.850235,0,-0.0005524829406199361,False,True,33,zero_volume,2026-07-25 18:13:04
2026-07-25 07:38:00,0.850205,0.850325,0.850095,0.850205,0,-3.528436255850753e-05,False,True,34,zero_volume,2026-07-25 18:13:04
2026-07-25 07:39:00,0.850195,0.850325,0.850085,0.850155,0,-5.880934598123666e-05,False,True,35,zero_volume,2026-07-25 18:13:04
2026-07-25 07:40:00,0.850165,0.850185,0.849835,0.849955,0,-0.00023525121889533818,False,True,36,zero_volume,2026-07-25 18:13:04
2026-07-25 07:41:00,0.849935,0.850095,0.849885,0.850015,0,7.059197251613192e-05,False,True,37,zero_volume,2026-07-25 18:13:04
2026-07-25 07:42:00,0.850025,0.850045,0.849805,0.849845,0,-0.00019999647065049864,False,True,38,zero_volume,2026-07-25 18:13:04
2026-07-25 07:43:00,0.849845,0.849935,0.849535,0.849595,0,-0.000294171290058709,False,True,39,zero_volume,2026-07-25 18:13:04
2026-07-25 07:44:00,0.849585,0.849855,0.849475,0.849835,0,0.000282487538179943,False,True,40,zero_volume,2026-07-25 18:13:04
2026-07-25 07:45:00,0.849825,0.849855,0.849685,0.849685,0,-0.00017650485094167223,False,True,41,zero_volume,2026-07-25 18:13:04
2026-07-25 07:46:00,0.849685,0.849885,0.849615,0.849705,0,2.3538134720446635e-05,False,True,42,zero_volume,2026-07-25 18:13:04
2026-07-25 07:47:00,0.849735,0.850095,0.849675,0.850075,0,0.0004354452427606237,False,True,43,zero_volume,2026-07-25 18:13:04
2026-07-25 07:48:00,0.850065,0.850145,0.849915,0.849925,0,-0.00017645501867480373,False,True,44,zero_volume,2026-07-25 18:13:04
