timestamp,open,high,low,close,volume,price_change,spike_detected,zero_volume_detected,zero_volume_streak,anomaly_type,log_timestamp
2026-07-25 07:04:00,1.309685,1.310225,1.309655,1.309705,0,,False,True,0,zero_volume,2026-07-25 18:13:04
2026-07-25 07:05:00,1.309715,1.309785,1.309385,1.309475,0,-0.0001756120653123583,False,True,1,zero_volume,2026-07-25 18:13:04
2026-07-25 07:06:00,1.309495,1.310005,1.309455,1.309835,0,0.00027491933790280143,False,True,2,zero_volume,2026-07-25 18:13:04
2026-07-25 07:07:00,1.309765,1.310155,1.309735,1.309785,0,-3.8172746949172165e-05,False,True,3,zero_volume,2026-07-25 18:13:04
2026-07-25 07:08:00,1.309775,1.309925,1.309445,1.309775,0,-7.634840832659862e-06,False,True,4,zero_volume,2026-07-25 18:13:04
2026-07-25 07:09:00,1.309785,1.309855,1.309435,1.309435,0,-0.00025958657021241116,False,True,5,zero_volume,2026-07-25 18:13:04
2026-07-25 07:10:00,1.309435,1.309595,1.309245,1.309335,0,-7.636881555783681e-05,False,True,6,zero_volume,2026-07-25 18:13:04
2026-07-25 07:11:00,1.309295,1.309465,1.309195,1.309365,0,2.2912394459728702e-05,False,True,7,zero_volume,2026-07-25 18:13:04
2026-07-25 07:12:00,1.309375,1.309425,1.308925,1.309015,0,-0.00026730514409645245,False,True,8,zero_volume,2026-07-25 18:13:04
2026-07-25 07:13:00,1.309025,1.309485,1.309025,1.309275,0,0.0001986226284649284,False,True,9,zero_volume,2026-07-25 18:13:04
2026-07-25 07:14:00,1.309305,1.309475,1.308975,1.308975,0,-0.00022913444463534827,False,True,10,zero_volume,2026-07-25 18:13:04
2026-07-25 07:15:00,1.308945,1.309285,1.308895,1.308925,0,-3.8197826543795443e-05,False,True,11,zero_volume,2026-07-25 18:13:04
2026-07-25 07:16:00,1.308935,1.309255,1.308815,1.309035,0,8.403842848148102e-05,False,True,12,zero_volume,2026-07-25 18:13:04
2026-07-25 07:17:00,1.309045,1.309475,1.308985,1.309475,0,0.0003361254664695501,False,True,13,zero_volume,2026-07-25 18:13:04
2026-07-25 07:18:00,1.309575,1.309575,1.309285,1.309385,0,-6.872983447558934e-05,False,True,14,zero_volume,2026-07-25 18:13:04
2026-07-25 07:19:00,1.309375,1.309375,1.308845,1.308845,0,-0.0004124073515429094,False,True,15,zero_volume,2026-07-25 18:13:04
