high,low,close,volume,age,quality,open
1.330765,1.330065,1.330735,0,42901737,STALE,1.330385
1.330905,1.329525,1.329905,0,42601737,STALE,1.330745
1.331185,1.329775,1.330415,0,42301737,STALE,1.329885
1.331455,1.329985,1.329995,0,42001737,STALE,1.330485
1.330675,1.329465,1.330305,0,41701737,STALE,1.330005
1.330775,1.330025,1.330505,0,41401737,STALE,1.330335
1.330655,1.329735,1.330195,0,41101737,STALE,1.330495
1.330505,1.329845,1.330215,0,40801737,STALE,1.330175
1.330835,1.329685,1.329765,0,40501737,STALE,1.330235
1.330365,1.329665,1.330045,0,40201737,STALE,1.329805
1.330655,1.329285,1.329445,0,39901737,STALE,1.330035
1.329805,1.329115,1.329645,0,39601737,STALE,1.329475
1.330455,1.329305,1.329315,0,39301737,STALE,1.329655
1.329365,1.327835,1.328295,0,39001737,STALE,1.329305
1.329855,1.328185,1.329435,0,38701737,STALE,1.328275
1.330765,1.329005,1.330615,0,38401737,STALE,1.329425
1.330955,1.330045,1.330745,0,38101737,STALE,1.330545
1.330925,1.329475,1.329475,0,37801737,STALE,1.330705
1.330345,1.329145,1.329955,0,37501737,STALE,1.329455
1.330675,1.329655,1.329705,0,37201737,STALE,1.329955
1.331035,1.329465,1.330765,0,36901737,STALE,1.329735
1.331575,1.330505,1.330765,0,36601737,STALE,1.330765
1.330925,1.329265,1.329345,0,36301737,STALE,1.330735
1.330735,1.329265,1.330415,0,36001737,STALE,1.329395
1.330445,1.329495,1.330075,0,35701737,STALE,1.330385
1.331355,1.329965,1.330815,0,35401737,STALE,1.330085
1.331175,1.330125,1.330995,0,35101737,STALE,1.330805
1.331775,1.330805,1.331445,0,34801737,STALE,1.331005
1.331565,1.330735,1.331115,0,34501737,STALE,1.331455
1.331405,1.329505,1.329505,0,34201737,STALE,1.331125
1.329975,1.328375,1.328565,0,33901737,STALE,1.329495
1.329575,1.327955,1.329135,0,33601737,STALE,1.328595
1.329165,1.328225,1.329135,0,33301737,STALE,1.329125
1.329935,1.329075,1.329625,0,33001737,STALE,1.329085
1.330475,1.328945,1.330415,0,32701737,STALE,1.329635
1.330595,1.329215,1.329815,0,32401737,STALE,1.330395
1.330725,1.329395,1.330725,0,32101737,STALE,1.329805
1.331135,1.330315,1.330885,0,31801737,STALE,1.330675
1.331145,1.330015,1.330205,0,31501737,STALE,1.330895
1.330585,1.328975,1.329085,0,31201737,STALE,1.330215
1.329345,1.328465,1.328845,0,30901737,STALE,1.329135
1.329525,1.328725,1.328905,0,30601737,STALE,1.328845
1.329085,1.328425,1.328695,0,30301737,STALE,1.328915
1.329125,1.328335,1.328545,0,30001737,STALE,1.328705
1.328915,1.327455,1.327785,0,29701737,STALE,1.328565
1.328755,1.327565,1.328525,0,29401737,STALE,1.327775
1.328545,1.326735,1.327295,0,29101737,STALE,1.328545
1.328055,1.326625,1.326625,0,28801737,STALE,1.327335
1.326755,1.325645,1.325755,0,28501737,STALE,1.326615
1.326635,1.325635,1.326385,0,28201737,STALE,1.325765
1.326485,1.324865,1.325225,0,27901737,STALE,1.326395
1.325705,1.324355,1.324365,0,27601737,STALE,1.325235
1.324725,1.323695,1.324725,0,27301737,STALE,1.324385
