high,low,close,volume,age,quality,open
0.857185,0.85711,0.85714,403,42901737,STALE,0.857165
0.85719,0.857135,0.857175,396,42601737,STALE,0.85714
0.857185,0.85712,0.85715,530,42301737,STALE,0.85718
0.857155,0.857085,0.857115,634,42001737,STALE,0.857155
0.857145,0.857055,0.857075,701,41701737,STALE,0.85711
0.857095,0.85689,0.856945,992,41401737,STALE,0.85708
0.85698,0.856855,0.85696,1015,41101737,STALE,0.85694
0.856995,0.856835,0.856845,579,40801737,STALE,0.85696
0.856905,0.856765,0.856895,647,40501737,STALE,0.85684
0.85706,0.85686,0.856955,615,40201737,STALE,0.85689
0.856995,0.856895,0.856915,589,39901737,STALE,0.856945
0.85697,0.85681,0.856845,639,39601737,STALE,0.85692
0.85686,0.856775,0.856805,514,39301737,STALE,0.85685
0.85683,0.85676,0.856775,557,39001737,STALE,0.856805
0.856805,0.85668,0.85668,593,38701737,STALE,0.856765
0.8567,0.856595,0.85669,618,38401737,STALE,0.856685
0.856765,0.856665,0.856715,892,38101737,STALE,0.856695
0.856825,0.85663,0.85672,887,37801737,STALE,0.85672
0.856905,0.8567,0.85687,603,37501737,STALE,0.856715
0.85691,0.85683,0.85688,520,37201737,STALE,0.856875
0.856885,0.85682,0.856825,600,36901737,STALE,0.856875
0.85682,0.856645,0.856715,739,36601737,STALE,0.85682
0.85681,0.856715,0.856755,562,36301737,STALE,0.85672
0.856835,0.856685,0.856735,650,36001737,STALE,0.85675
0.856815,0.856615,0.856815,708,35701737,STALE,0.856735
0.856845,0.856745,0.856765,542,35401737,STALE,0.856815
0.857045,0.85676,0.85702,824,35101737,STALE,0.85676
0.85708,0.856975,0.856985,551,34801737,STALE,0.857025
0.857,0.856845,0.856845,592,34501737,STALE,0.85698
0.856995,0.856825,0.85689,630,34201737,STALE,0.856845
0.856925,0.856775,0.85678,702,33901737,STALE,0.856895
0.857035,0.8567,0.85703,659,33601737,STALE,0.85678
0.857035,0.85672,0.85676,692,33301737,STALE,0.857035
0.85679,0.85664,0.85668,550,33001737,STALE,0.856765
0.8568,0.856665,0.85671,436,32701737,STALE,0.856685
0.85671,0.85661,0.856685,351,32401737,STALE,0.85671
0.856795,0.856685,0.8567,534,32101737,STALE,0.85669
0.856795,0.856585,0.856585,593,31801737,STALE,0.856705
0.856675,0.856535,0.85657,479,31501737,STALE,0.85659
0.85662,0.85655,0.856555,572,31201737,STALE,0.856575
0.85656,0.8564,0.8565,485,30901737,STALE,0.856545
0.856615,0.85649,0.85656,484,30601737,STALE,0.856505
0.856705,0.85656,0.856625,529,30301737,STALE,0.856565
0.856705,0.856515,0.856535,440,30001737,STALE,0.856625
0.856605,0.85646,0.85648,555,29701737,STALE,0.856535
0.856615,0.856465,0.856485,439,29401737,STALE,0.85648
0.856565,0.85644,0.856545,490,29101737,STALE,0.856475
