timestamp,open,high,low,close,volume
2026-01-23 09:00:00,1.350135,1.35066,1.34984,1.35014,5269
2026-01-23 09:15:00,1.35014,1.350765,1.35004,1.35043,3251
2026-01-23 09:30:00,1.350425,1.352655,1.350425,1.35265,5081
2026-01-23 09:45:00,1.352655,1.353465,1.352645,1.35298,5468
2026-01-23 10:00:00,1.352985,1.353435,1.352435,1.35272,3671
2026-01-23 10:15:00,1.352715,1.35345,1.352545,1.3534,3481
2026-01-23 10:30:00,1.3534,1.35368,1.35278,1.352795,3051
2026-01-23 10:45:00,1.35279,1.353,1.35224,1.352675,3258
2026-01-23 11:00:00,1.35268,1.353,1.35224,1.352855,3119
2026-01-23 11:15:00,1.35286,1.35291,1.351505,1.35261,3738
2026-01-23 11:30:00,1.352605,1.353235,1.352405,1.352575,2670
2026-01-23 11:45:00,1.35257,1.353155,1.351405,1.35179,4933
2026-01-23 12:00:00,1.351795,1.352425,1.351775,1.35229,3623
2026-01-23 12:15:00,1.352285,1.35268,1.35219,1.352335,1913
2026-01-23 12:30:00,1.352335,1.353045,1.352225,1.352855,2586
2026-01-23 12:45:00,1.35286,1.35321,1.352655,1.35285,2738
2026-01-23 13:00:00,1.352845,1.353215,1.352625,1.35319,4142
2026-01-23 13:15:00,1.35319,1.353465,1.35293,1.35325,4505
2026-01-23 13:30:00,1.35325,1.35348,1.35262,1.353055,2940
2026-01-23 13:45:00,1.35305,1.35314,1.35242,1.352505,2809
2026-01-23 14:00:00,1.35251,1.352995,1.352065,1.35296,3730
2026-01-23 14:15:00,1.352965,1.35297,1.35224,1.3529,3295
2026-01-23 14:30:00,1.352905,1.352945,1.352385,1.35242,3977
2026-01-23 14:45:00,1.352415,1.3538,1.352395,1.353635,3450
2026-01-23 15:00:00,1.353625,1.35446,1.35347,1.35431,5030
2026-01-23 15:15:00,1.354315,1.35513,1.354195,1.35512,3725
2026-01-23 15:30:00,1.355125,1.355525,1.355005,1.35521,3363
2026-01-23 15:45:00,1.355235,1.35675,1.355145,1.35643,4538
2026-01-23 16:00:00,1.356435,1.356855,1.35608,1.35621,4011
2026-01-23 16:15:00,1.356205,1.357445,1.3561,1.357435,6517
2026-01-23 16:30:00,1.35744,1.359275,1.357435,1.359075,6179
2026-01-23 16:45:00,1.35907,1.35978,1.358615,1.358815,6932
2026-01-23 17:00:00,1.35882,1.36011,1.35861,1.35994,5347
2026-01-23 17:15:00,1.359945,1.360975,1.359465,1.36095,8334
2026-01-23 17:30:00,1.360945,1.36228,1.360125,1.36024,9896
2026-01-23 17:45:00,1.360235,1.36111,1.35994,1.36083,8394
2026-01-23 18:00:00,1.360825,1.36092,1.35941,1.359455,8066
2026-01-23 18:15:00,1.35945,1.360865,1.3592,1.360645,7192
2026-01-23 18:30:00,1.36064,1.36069,1.35981,1.36046,5525
2026-01-23 18:45:00,1.360465,1.360695,1.360045,1.360525,3807
2026-01-23 19:00:00,1.36053,1.361655,1.36051,1.36153,4376
2026-01-23 19:15:00,1.36153,1.36171,1.36064,1.36101,3579
2026-01-23 19:30:00,1.361005,1.361255,1.36081,1.361135,4828
2026-01-23 19:45:00,1.361135,1.362935,1.360965,1.36236,6383
2026-01-23 20:00:00,1.362365,1.362815,1.362175,1.36273,4017
2026-01-23 20:15:00,1.362725,1.363825,1.362725,1.363415,4503
2026-01-23 20:30:00,1.36341,1.36341,1.36235,1.36296,4865
2026-01-23 20:45:00,1.362965,1.36381,1.36255,1.36368,2829
2026-01-23 21:00:00,1.363675,1.36431,1.363425,1.364135,7114
2026-01-23 21:15:00,1.36414,1.36457,1.3637,1.36421,7527
2026-01-23 21:30:00,1.364215,1.364445,1.363245,1.36389,6105
2026-01-23 21:45:00,1.3639,1.364735,1.363505,1.364735,10556
2026-01-25 22:00:00,1.364735,1.366845,1.364735,1.36667,209
2026-01-25 22:15:00,1.36668,1.36694,1.36621,1.366275,544
2026-01-25 22:30:00,1.366275,1.366835,1.366245,1.36682,82
2026-01-25 22:45:00,1.36682,1.368295,1.366815,1.367905,1425
2026-01-25 23:00:00,1.367895,1.368005,1.36691,1.36792,2616
2026-01-25 23:15:00,1.36792,1.367985,1.365955,1.36621,2622
2026-01-25 23:30:00,1.366215,1.36664,1.36579,1.366045,2586
2026-01-25 23:45:00,1.36604,1.366475,1.365465,1.36644,3209
2026-01-26 00:00:00,1.366445,1.36647,1.364615,1.36492,5520
2026-01-26 00:15:00,1.364915,1.365455,1.3643,1.3652,3325
2026-01-26 00:30:00,1.36521,1.365545,1.364635,1.36537,2596
2026-01-26 00:45:00,1.36536,1.366745,1.365305,1.366735,5058
2026-01-26 01:00:00,1.36674,1.367465,1.36604,1.36635,5489
2026-01-26 01:15:00,1.366365,1.366595,1.36587,1.366385,4178
2026-01-26 01:30:00,1.36638,1.36724,1.365945,1.36673,4720
