timestamp,open,high,low,close,volume,age,quality
2026-08-21 05:11:00+00:00,0.857055,0.85706,0.857025,0.857035,62,15061501,STALE
2026-08-21 05:12:00+00:00,0.857035,0.857075,0.85703,0.857065,74,15001501,STALE
2026-08-21 05:13:00+00:00,0.85707,0.85709,0.857065,0.85708,81,14941501,STALE
2026-08-21 05:14:00+00:00,0.857085,0.85709,0.85706,0.85706,114,14881501,STALE
2026-08-21 05:15:00+00:00,0.857065,0.857065,0.857045,0.85705,151,14821501,STALE
2026-08-21 05:16:00+00:00,0.85705,0.85706,0.857035,0.857055,91,14761501,STALE
2026-08-21 05:17:00+00:00,0.85706,0.857075,0.857045,0.857055,157,14701501,STALE
2026-08-21 05:18:00+00:00,0.85706,0.857075,0.857045,0.857065,256,14641501,STALE
2026-08-21 05:19:00+00:00,0.857065,0.857065,0.857015,0.857025,83,14581501,STALE
2026-08-21 05:20:00+00:00,0.857025,0.857045,0.857015,0.857025,121,14521501,STALE
2026-08-21 05:21:00+00:00,0.85702,0.857025,0.856995,0.856995,57,14461501,STALE
2026-08-21 05:22:00+00:00,0.856995,0.857,0.856985,0.856985,25,14401501,STALE
2026-08-21 05:23:00+00:00,0.85699,0.856995,0.856975,0.856995,51,14341501,STALE
2026-08-21 05:24:00+00:00,0.856995,0.857,0.85699,0.856995,19,14281501,STALE
2026-08-21 05:25:00+00:00,0.856995,0.857005,0.856995,0.856995,29,14221501,STALE
2026-08-21 05:26:00+00:00,0.856995,0.857005,0.856995,0.857005,40,14161501,STALE
2026-08-21 05:27:00+00:00,0.857005,0.857035,0.857,0.857035,80,14101501,STALE
2026-08-21 05:28:00+00:00,0.85703,0.857045,0.85701,0.85703,197,14041501,STALE
2026-08-21 05:29:00+00:00,0.857025,0.857035,0.857005,0.857015,60,13981501,STALE
2026-08-21 05:30:00+00:00,0.85701,0.857015,0.856985,0.85701,116,13921501,STALE
2026-08-21 05:31:00+00:00,0.857015,0.857015,0.856985,0.857005,215,13861501,STALE
2026-08-21 05:32:00+00:00,0.85701,0.857025,0.856995,0.85702,139,13801501,STALE
2026-08-21 05:33:00+00:00,0.857015,0.857025,0.856995,0.857005,139,13741501,STALE
2026-08-21 05:34:00+00:00,0.85701,0.85701,0.856955,0.85697,107,13681501,STALE
2026-08-21 05:35:00+00:00,0.856965,0.85699,0.85695,0.85698,158,13621501,STALE
2026-08-21 05:36:00+00:00,0.85697,0.856995,0.856965,0.856975,89,13561501,STALE
