timestamp,open,high,low,close,volume,symbol,m5_ema5,m5_ema10,m5_ema20,m5_ema50,m5_ema100,m5_ema200,m5_bb_upper,m5_bb_lower,m5_bb_width,m5_bbw_sma_100,m5_rsi7,m5_rsi14,m5_macd,m5_macd_signal,m5_macd_hist,m5_stoch_k,m5_stoch_d,m5_atr14,m5_atr_percentile,m5_atr_zscore,m5_atr_recent_avg,m5_atr_past_avg,m5_adx,m5_di_plus,m5_di_minus,m5_dx,m5_roc,m5_volume,m5_volume_ma20,m5_volume_ratio,m5_volume_spike,m5_volume_trend,m5_slope_10,m5_slope_20,m5_slope_50,m5_support,m5_resistance,m5_pivot,m5_r1,m5_r2,m5_s1,m5_s2,m5_box_duration,m5_box_tightness,m1_ema5,m1_ema20,m1_rsi14,m1_macd,m1_macd_signal,m1_stoch_k,m1_stoch_d,m1_atr14,m1_support,m1_resistance,m1_bb_upper,m1_bb_lower,m1_volume,m1_volume_ratio,ohlcv_close,ohlcv_high,ohlcv_low,ohlcv_open,price_action_recent_body_size,price_action_wick_to_body_ratio,price_action_momentum_strength,price_action_move_type,price_action_directional_bias,price_action_price_action_quality,price_action_confidence,behavior_conviction,behavior_hesitation,behavior_pressure_balance,behavior_participation,behavior_behavior,behavior_is_decisive,behavior_confidence,candle_pattern_patterns_detected,candle_pattern_pattern_count,candle_pattern_pattern_strength,candle_pattern_bias,candle_pattern_last_candle_color,candle_pattern_confidence,conflict_conflict_detected,conflict_conflict_score,conflict_agreement_score,conflict_ema_direction,conflict_momentum_direction,conflict_candle_direction,conflict_conflicting_signals,conflict_all_aligned,conflict_confidence,continuation_continuation_probability,continuation_reversal_probability,continuation_pullback_health,continuation_momentum_intact,continuation_volume_supports_move,continuation_bias,continuation_confidence,continuation_retest_detected,continuation_retest_quality,continuation_retest_type,divergence_divergence_detected,divergence_divergence_type,divergence_rsi_divergence,divergence_macd_divergence,divergence_divergence_strength,divergence_both_confirm,divergence_confidence,efficiency_efficiency_ratio,efficiency_path_efficiency,efficiency_directional_efficiency,efficiency_overall_efficiency,efficiency_movement_quality,efficiency_is_efficient,efficiency_confidence,persistence_persistence_score,persistence_autocorrelation,persistence_max_consecutive_run,persistence_trend_persistence,persistence_is_persistent,persistence_behavior,persistence_confidence,persistence_expansion_persistence,persistence_fatigue_risk,transition_in_transition,transition_transition_type,transition_volatility_shift,transition_momentum_shift,transition_structure_shift,transition_stability_score,transition_is_stable,transition_confidence,analysis_trend_direction,analysis_trend_strength,analysis_trend_type,analysis_volatility_regime,engines_trend_direction,engines_trend_strength,engines_trend_momentum,engines_trend_type,engines_trend_confidence,engines_trend_reversal_risk,engines_trend_sustain_probability,engines_strength_momentum_level,engines_strength_divergence,engines_strength_strength_score,engines_strength_exhaustion_risk,engines_strength_confidence,engines_volatility_regime,engines_volatility_volatility_score,engines_volatility_expansion_probability,engines_volatility_contraction_probability,engines_volatility_volatility_zscore,engines_volatility_spike_detected,engines_volatility_confidence,engines_volatility_bbw_compression_ratio,engines_volatility_compression_quality,engines_structure_structure_type,engines_structure_structure_score,engines_structure_bos_detected,engines_structure_bos_type,engines_structure_key_zones_strong_support,engines_structure_key_zones_strong_resistance,engines_structure_key_zones_middle,engines_structure_zone_proximity,engines_structure_breakout_probability,engines_structure_reversal_probability,engines_structure_confidence,engines_mtf_alignment_score,engines_mtf_dominant_direction,engines_mtf_htf_direction,engines_mtf_ltf_direction,engines_mtf_htf_ltf_conflict,engines_mtf_timeframes_analyzed,engines_mtf_confidence_from_mtf,engines_mtf_confidence,market_state,market_state_full_state,market_state_full_confidence,market_state_full_quality_score,market_state_full_tradeable,market_state_full_stability,market_state_full_description,market_state_full_metrics_volume_ratio,market_state_full_metrics_noise_level,market_state_full_metrics_rsi_extreme_bull,market_state_full_metrics_rsi_extreme_bear,market_state_full_metrics_price_above_ma20,market_state_full_metrics_price_above_ma50,market_state_full_metrics_wick_lower_ratio,market_state_full_metrics_wick_upper_ratio,market_state_full_metrics_compression_detected,market_state_full_metrics_divergence_detected,market_state_full_metrics_volume_surge,market_state_full_metrics_adaptive_adx_threshold,market_state_full_metrics_is_otc
2026-06-25 12:32:00,1.162215,1.162505,1.161715,1.161745,1.0,EURUSD-OTC,1.160348,1.159281,1.158809,1.159325,1.158095,1.154797,1.161847,1.15334,0.008508,0.007601,96.64,76.48,0.000113,-0.000679,0.000791,91.26,91.53,0.00146,42.0,-0.28,0.001516,0.001782,24.05,32.39,15.79,34.45,0.5618,1,1.0,1.0,False,STABLE,0.000671,0.000196,-0.000202,1.153515,1.162565,1.161702,1.162608,1.163472,1.160838,1.159932,27,6.2,1.161792,1.160758,73.6,0.000911,0.000862,80.64,80.6,0.000714,1.159105,1.162565,1.162619,1.158665,1,1.0,1.161745,1.162505,1.161715,1.162215,0.06576182310414758,0.9980494148244201,90,NOISY,BULLISH,85,70,49,16,13.333333333333334,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BULLISH,40,False,0,100,NONE,UP,UP,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BULLISH,False,True,50,False,70,23.426346528228258,9.664822648877072,70.0,34,POOR,False,75,64,-0.0248969834431978,8,30.000000000000004,True,RANDOM,70,56.44466726022331,3.8003913535802707,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,100,CHOPPY,NORMAL,NONE,100,0.5618,CHOPPY,20,50,30,NORMAL,NONE,70,30,80,NORMAL,58,55,45,-0.28,False,80,1.119326404420471,50.46735955795291,RANGING,90,False,NONE,1.153515,1.162565,1.161702,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,ACCUMULATION,ACCUMULATION,55,65,True,30,"Smart money accumulation. Bullish bias, look for breakout.",1.0,0.5,True,False,True,True,0.3,0.3,True,False,False,18,True
2026-06-25 12:33:00,1.161695,1.161805,1.161235,1.161805,1.0,EURUSD-OTC,1.160348,1.159281,1.158809,1.159325,1.158095,1.154797,1.161847,1.15334,0.008508,0.007601,96.64,76.48,0.000113,-0.000679,0.000791,91.26,91.53,0.00146,42.0,-0.28,0.001516,0.001782,24.05,32.39,15.79,34.45,0.5618,1,1.0,1.0,False,STABLE,0.000671,0.000196,-0.000202,1.153515,1.162565,1.161702,1.162608,1.163472,1.160838,1.159932,27,6.2,1.161796,1.160858,70.74,0.000884,0.000866,80.47,81.0,0.000676,1.159105,1.162565,1.162749,1.158718,1,1.0,1.161805,1.161805,1.161235,1.161695,0.06576182310414758,0.9980494148244201,90,NOISY,BULLISH,85,70,49,16,13.333333333333334,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BULLISH,40,False,0,100,NONE,UP,UP,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BULLISH,False,True,50,False,70,23.426346528228258,9.664822648877072,70.0,34,POOR,False,75,64,-0.0248969834431978,8,30.000000000000004,True,RANDOM,70,56.44466726022331,3.8003913535802707,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,100,CHOPPY,NORMAL,NONE,100,0.5618,CHOPPY,20,50,30,NORMAL,NONE,70,30,80,NORMAL,58,55,45,-0.28,False,80,1.119326404420471,50.46735955795291,RANGING,90,False,NONE,1.153515,1.162565,1.161702,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,SIDEWAY_RANGE,SIDEWAY_RANGE,55,60,True,30,Price ranging between clear levels. Suitable for mean-reversion strategies.,1.0,0.5,True,False,True,True,0.3,0.3,True,False,False,18,True
2026-06-25 12:35:00,1.161685,1.161705,1.161225,1.161475,1.0,EURUSD-OTC,1.160724,1.15968,1.159063,1.15941,1.158154,1.154803,1.1623,1.153157,0.009143,0.007586,87.97,73.9,0.000298,-0.000484,0.000781,90.45,91.46,0.001451,44.5,-0.25,0.001492,0.001768,24.79,30.45,14.84,34.45,0.4732,1,1.0,1.0,False,STABLE,0.000589,0.00027,-0.000191,1.153515,1.162565,1.161735,1.162245,1.163015,1.160965,1.160455,28,6.24,1.161669,1.16099,65.86,0.000786,0.000847,68.99,74.79,0.000659,1.159105,1.162565,1.162889,1.158923,1,1.0,1.161475,1.161705,1.161225,1.161685,0.0615000314831846,1.0079946702198466,80,NOISY,BULLISH,70,70,47,20,13.333333333333334,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BEARISH,40,False,0,100,NONE,UP,UP,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BULLISH,False,True,50,False,70,17.952127659573506,12.840079628401,65.0,31,POOR,False,75,63,-0.06344450050289814,8,19.999999999999996,True,RANDOM,70,58.222044390683436,3.1215540210226793,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,100,CHOPPY,NORMAL,NONE,100,0.4732,CHOPPY,20,50,30,NORMAL,NONE,70,30,80,NORMAL,58,55,45,-0.25,False,80,1.2052465067229106,39.875349327708946,RANGING,90,False,NONE,1.153515,1.162245,1.161735,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,SIDEWAY_RANGE,SIDEWAY_RANGE,56,60,True,30,Price ranging between clear levels. Suitable for mean-reversion strategies.,1.0,0.5,False,False,True,True,0.3,0.3,True,False,False,18,True
2026-06-25 12:36:00,1.161485,1.161835,1.161175,1.161695,1.0,EURUSD-OTC,1.160724,1.15968,1.159063,1.15941,1.158154,1.154803,1.1623,1.153157,0.009143,0.007586,87.97,73.9,0.000298,-0.000484,0.000781,90.45,91.46,0.001451,44.5,-0.25,0.001492,0.001768,24.79,30.45,14.84,34.45,0.4732,1,1.0,1.0,False,STABLE,0.000589,0.00027,-0.000191,1.153515,1.162565,1.161735,1.162245,1.163015,1.160965,1.160455,28,6.24,1.161678,1.161057,64.57,0.000748,0.000827,65.22,69.7,0.000675,1.159105,1.162565,1.162955,1.159028,1,1.0,1.161695,1.161835,1.161175,1.161485,0.0615000314831846,1.0079946702198466,80,NOISY,BULLISH,70,70,47,20,13.333333333333334,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BEARISH,40,False,0,100,NONE,UP,UP,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BULLISH,False,True,50,False,70,17.952127659573506,12.840079628401,65.0,31,POOR,False,75,63,-0.06344450050289814,8,19.999999999999996,True,RANDOM,70,58.222044390683436,3.1215540210226793,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,100,CHOPPY,NORMAL,NONE,100,0.4732,CHOPPY,20,50,30,NORMAL,NONE,70,30,80,NORMAL,58,55,45,-0.25,False,80,1.2052465067229106,39.875349327708946,RANGING,90,False,NONE,1.153515,1.162245,1.161735,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,SIDEWAY_RANGE,SIDEWAY_RANGE,56,60,True,30,Price ranging between clear levels. Suitable for mean-reversion strategies.,1.0,0.5,False,False,True,True,0.3,0.3,True,False,False,18,True
2026-06-25 12:40:00,1.161965,1.161975,1.161445,1.161545,1.0,EURUSD-OTC,1.160997,1.160019,1.159299,1.159493,1.158229,1.154929,1.162804,1.153047,0.009756,0.007573,86.36,85.39,0.000445,-0.000298,0.000743,89.21,90.31,0.001396,26.5,-0.7,0.001466,0.001751,25.43,28.66,14.21,33.71,0.415,1,1.0,1.0,False,STABLE,0.000486,0.000323,-0.000177,1.153515,1.162565,1.161712,1.162248,1.162952,1.161008,1.160472,29,6.48,1.161755,1.161308,53.31,0.000621,0.000736,54.13,64.54,0.000595,1.159425,1.162565,1.162751,1.160161,1,1.0,1.161545,1.161975,1.161445,1.161965,0.05560809826338794,1.139985642498182,80,NOISY,BULLISH,70,70,45,23,13.333333333333334,50,NEUTRAL,False,70,['DOJI'],1,20,NEUTRAL,BULLISH,60,False,0,100,NONE,UP,UP,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BULLISH,False,True,50,False,70,28.263988522237977,10.2985575310304,70.0,36,FAIR,False,75,61,-0.07403103480221021,8,9.999999999999998,True,RANDOM,70,64.02582727962131,2.905633327517644,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,100,CHOPPY,NORMAL,NONE,100,0.415,CHOPPY,20,50,30,NORMAL,NONE,75,45,85,NORMAL,58,55,45,-0.7,False,80,1.28826092697742,45.97390730225801,RANGING,90,False,NONE,1.153515,1.162248,1.161712,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,BREAKOUT_EMERGING,BREAKOUT_EMERGING,50,70,True,31,"Volatility expansion after compression. Potential breakout opportunity. (breakout prob: 30%, reversal prob: 50%)",1.0,0.5,True,False,True,True,0.3,0.3,True,False,False,18,True
2026-06-25 12:41:00,1.161595,1.161645,1.161105,1.161245,1.0,EURUSD-OTC,1.160997,1.160019,1.159299,1.159493,1.158229,1.154929,1.162804,1.153047,0.009756,0.007573,86.36,85.39,0.000445,-0.000298,0.000743,89.21,90.31,0.001396,26.5,-0.7,0.001466,0.001751,25.43,28.66,14.21,33.71,0.415,1,1.0,1.0,False,STABLE,0.000486,0.000323,-0.000177,1.153515,1.162565,1.161712,1.162248,1.162952,1.161008,1.160472,29,6.48,1.161585,1.161302,38.33,0.000544,0.000698,34.67,53.03,0.000581,1.159935,1.162565,1.1626,1.160446,1,1.0,1.161245,1.161645,1.161105,1.161595,0.05560809826338794,1.139985642498182,80,NOISY,BULLISH,70,70,45,23,13.333333333333334,50,NEUTRAL,False,70,['DOJI'],1,20,NEUTRAL,BULLISH,60,False,0,100,NONE,UP,UP,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BULLISH,False,True,50,False,70,28.263988522237977,10.2985575310304,70.0,36,FAIR,False,75,61,-0.07403103480221021,8,9.999999999999998,True,RANDOM,70,64.02582727962131,2.905633327517644,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,100,CHOPPY,NORMAL,NONE,100,0.415,CHOPPY,20,50,30,NORMAL,NONE,75,45,85,NORMAL,58,55,45,-0.7,False,80,1.28826092697742,45.97390730225801,RANGING,90,False,NONE,1.153515,1.162248,1.161712,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,BREAKOUT_EMERGING,BREAKOUT_EMERGING,50,70,True,31,"Volatility expansion after compression. Potential breakout opportunity. (breakout prob: 30%, reversal prob: 50%)",1.0,0.5,True,False,True,True,0.3,0.3,True,False,False,18,True
2026-06-25 12:42:00,1.161255,1.162055,1.161135,1.162015,1.0,EURUSD-OTC,1.160997,1.160019,1.159299,1.159493,1.158229,1.154929,1.162804,1.153047,0.009756,0.007573,86.36,85.39,0.000445,-0.000298,0.000743,89.21,90.31,0.001396,26.5,-0.7,0.001466,0.001751,25.43,28.66,14.21,33.71,0.415,1,1.0,1.0,False,STABLE,0.000486,0.000323,-0.000177,1.153515,1.162565,1.161712,1.162248,1.162952,1.161008,1.160472,29,6.48,1.161728,1.16137,51.2,0.000538,0.000666,33.74,40.85,0.000599,1.160115,1.162565,1.16254,1.160677,1,1.0,1.162015,1.162055,1.161135,1.161255,0.05560809826338794,1.139985642498182,80,NOISY,BULLISH,70,70,45,23,13.333333333333334,50,NEUTRAL,False,70,['DOJI'],1,20,NEUTRAL,BULLISH,60,False,0,100,NONE,UP,UP,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BULLISH,False,True,50,False,70,28.263988522237977,10.2985575310304,70.0,36,FAIR,False,75,61,-0.07403103480221021,8,9.999999999999998,True,RANDOM,70,64.02582727962131,2.905633327517644,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,100,CHOPPY,NORMAL,NONE,100,0.415,CHOPPY,20,50,30,NORMAL,NONE,75,45,85,NORMAL,58,55,45,-0.7,False,80,1.28826092697742,45.97390730225801,RANGING,90,False,NONE,1.153515,1.162248,1.161712,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,BREAKOUT_EMERGING,BREAKOUT_EMERGING,50,70,True,31,"Volatility expansion after compression. Potential breakout opportunity. (breakout prob: 30%, reversal prob: 50%)",1.0,0.5,True,False,True,True,0.3,0.3,True,False,False,18,True
2026-06-25 12:43:00,1.161995,1.162005,1.161045,1.161045,1.0,EURUSD-OTC,1.160997,1.160019,1.159299,1.159493,1.158229,1.154929,1.162804,1.153047,0.009756,0.007573,86.36,85.39,0.000445,-0.000298,0.000743,89.21,90.31,0.001396,26.5,-0.7,0.001466,0.001751,25.43,28.66,14.21,33.71,0.415,1,1.0,1.0,False,STABLE,0.000486,0.000323,-0.000177,1.153515,1.162565,1.161712,1.162248,1.162952,1.161008,1.160472,29,6.48,1.1615,1.161339,41.11,0.000451,0.000623,24.86,31.09,0.000632,1.160115,1.162565,1.162536,1.160686,1,1.0,1.161045,1.162005,1.161045,1.161995,0.05560809826338794,1.139985642498182,80,NOISY,BULLISH,70,70,45,23,13.333333333333334,50,NEUTRAL,False,70,['DOJI'],1,20,NEUTRAL,BULLISH,60,False,0,100,NONE,UP,UP,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BULLISH,False,True,50,False,70,28.263988522237977,10.2985575310304,70.0,36,FAIR,False,75,61,-0.07403103480221021,8,9.999999999999998,True,RANDOM,70,64.02582727962131,2.905633327517644,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,100,CHOPPY,NORMAL,NONE,100,0.415,CHOPPY,20,50,30,NORMAL,NONE,75,45,85,NORMAL,58,55,45,-0.7,False,80,1.28826092697742,45.97390730225801,RANGING,90,False,NONE,1.153515,1.162248,1.161712,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,BREAKOUT_EMERGING,BREAKOUT_EMERGING,50,70,True,31,"Volatility expansion after compression. Potential breakout opportunity. (breakout prob: 30%, reversal prob: 50%)",1.0,0.5,True,False,True,True,0.3,0.3,True,False,False,18,True
2026-06-25 12:44:00,1.161165,1.161775,1.160885,1.161625,1.0,EURUSD-OTC,1.160997,1.160019,1.159299,1.159493,1.158229,1.154929,1.162804,1.153047,0.009756,0.007573,86.36,85.39,0.000445,-0.000298,0.000743,89.21,90.31,0.001396,26.5,-0.7,0.001466,0.001751,25.43,28.66,14.21,33.71,0.415,1,1.0,1.0,False,STABLE,0.000486,0.000323,-0.000177,1.153515,1.162565,1.161712,1.162248,1.162952,1.161008,1.160472,29,6.48,1.161549,1.161369,48.81,0.000425,0.000584,37.58,32.29,0.000664,1.160285,1.162565,1.162357,1.161002,1,1.0,1.161625,1.161775,1.160885,1.161165,0.05560809826338794,1.139985642498182,80,NOISY,BULLISH,70,70,45,23,13.333333333333334,50,NEUTRAL,False,70,['DOJI'],1,20,NEUTRAL,BULLISH,60,False,0,100,NONE,UP,UP,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BULLISH,False,True,50,False,70,28.263988522237977,10.2985575310304,70.0,36,FAIR,False,75,61,-0.07403103480221021,8,9.999999999999998,True,RANDOM,70,64.02582727962131,2.905633327517644,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,100,CHOPPY,NORMAL,NONE,100,0.415,CHOPPY,20,50,30,NORMAL,NONE,75,45,85,NORMAL,58,55,45,-0.7,False,80,1.28826092697742,45.97390730225801,RANGING,90,False,NONE,1.153515,1.162248,1.161712,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,BREAKOUT_EMERGING,BREAKOUT_EMERGING,50,70,True,31,"Volatility expansion after compression. Potential breakout opportunity. (breakout prob: 30%, reversal prob: 50%)",1.0,0.5,True,False,True,True,0.3,0.3,True,False,False,18,True
2026-06-25 12:45:00,1.161635,1.162295,1.161525,1.161915,1.0,EURUSD-OTC,1.161303,1.160364,1.159548,1.159588,1.158298,1.154969,1.16329,1.152905,0.010385,0.007569,86.73,94.66,0.000585,-0.000121,0.000706,89.77,89.81,0.001358,14.0,-1.02,0.001446,0.001719,25.7,26.73,14.64,29.23,0.2831,1,1.0,1.0,False,STABLE,0.000385,0.000388,-0.000162,1.153515,1.162565,1.161698,1.162512,1.163108,1.161102,1.160288,30,6.66,1.161671,1.161421,47.14,0.000421,0.000551,37.1,33.41,0.000654,1.160795,1.162565,1.162297,1.161167,1,1.0,1.161915,1.162295,1.161525,1.161635,0.05153306561417501,1.1286462228870222,80,NORMAL,BULLISH,70,70,43,26,20.0,50,NEUTRAL,False,70,['MORNING_STAR'],1,20,BULLISH,BULLISH,60,False,0,100,NONE,UP,UP,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BULLISH,False,True,50,False,70,25.59523809523826,18.973998594519067,70.0,38,FAIR,False,75,60,-0.07225498541079967,8,0.0,False,RANDOM,70,62.713169861543506,3.0613919071370814,True,MOMENTUM_SHIFT,False,True,True,35,False,70,NONE,100,CHOPPY,LOW,NONE,100,0.2831,CHOPPY,20,50,30,NORMAL,NONE,75,45,85,LOW,58,55,45,-1.02,False,65,1.3720438631259082,42.79561368740919,RANGING,90,False,NONE,1.153515,1.162512,1.161698,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,BREAKOUT_EMERGING,BREAKOUT_EMERGING,51,70,True,31,"Volatility expansion after compression. Potential breakout opportunity. (breakout prob: 30%, reversal prob: 50%)",1.0,0.5,True,False,True,True,0.3,0.3,True,False,False,18,True
