high,low,close,volume,age,quality,open
0.859925,0.859205,0.859625,0,42901737,STALE,0.859405
0.859755,0.859325,0.859655,0,42601737,STALE,0.859615
0.860675,0.859635,0.860385,0,42301737,STALE,0.859675
0.860525,0.860225,0.860295,0,42001737,STALE,0.860365
0.860725,0.860295,0.860525,0,41701737,STALE,0.860295
0.860515,0.859845,0.860185,0,41401737,STALE,0.860515
0.860835,0.859935,0.860665,0,41101737,STALE,0.860165
0.860955,0.860355,0.860655,0,40801737,STALE,0.860655
0.860685,0.859915,0.859925,0,40501737,STALE,0.860665
0.859995,0.859385,0.859395,0,40201737,STALE,0.859895
0.859495,0.858735,0.858955,0,39901737,STALE,0.859405
0.859375,0.858855,0.858875,0,39601737,STALE,0.858945
0.859275,0.858745,0.859155,0,39301737,STALE,0.858845
0.859625,0.858975,0.859425,0,39001737,STALE,0.859145
0.859635,0.859135,0.859415,0,38701737,STALE,0.859415
0.860385,0.859255,0.860325,0,38401737,STALE,0.859425
0.860385,0.859895,0.859995,0,38101737,STALE,0.860335
0.860465,0.859915,0.860035,0,37801737,STALE,0.860005
0.860735,0.859875,0.860555,0,37501737,STALE,0.860025
0.860735,0.860325,0.860445,0,37201737,STALE,0.860545
0.860975,0.860195,0.860975,0,36901737,STALE,0.860475
0.861085,0.860405,0.860715,0,36601737,STALE,0.860985
0.861005,0.860525,0.860685,0,36301737,STALE,0.860725
0.860695,0.859895,0.860545,0,36001737,STALE,0.860695
0.860925,0.860385,0.860505,0,35701737,STALE,0.860535
0.860795,0.860385,0.860765,0,35401737,STALE,0.860515
0.860835,0.860265,0.860545,0,35101737,STALE,0.860755
0.861185,0.860535,0.860915,0,34801737,STALE,0.860545
0.860935,0.859755,0.859765,0,34501737,STALE,0.860905
0.860105,0.859525,0.859895,0,34201737,STALE,0.859765
0.859985,0.859575,0.859855,0,33901737,STALE,0.859885
0.859955,0.859345,0.859665,0,33601737,STALE,0.859845
0.860025,0.859555,0.859925,0,33301737,STALE,0.859655
0.860375,0.859745,0.860255,0,33001737,STALE,0.859915
0.860615,0.860175,0.860525,0,32701737,STALE,0.860245
0.860695,0.860145,0.860325,0,32401737,STALE,0.860545
0.860485,0.859985,0.860435,0,32101737,STALE,0.860305
0.860805,0.860445,0.860575,0,31801737,STALE,0.860445
0.861295,0.860555,0.860935,0,31501737,STALE,0.860575
0.861325,0.860555,0.861295,0,31201737,STALE,0.860895
