timestamp,open,high,low,close,volume,age,quality
2026-08-11 03:30:00+00:00,183.754,183.7845,183.73,183.7795,2142,62999054,STALE
2026-08-11 03:45:00+00:00,183.78,183.7815,183.7295,183.7695,1854,62957303,STALE
2026-08-11 04:00:00+00:00,183.7705,183.787,183.757,183.7705,1673,62057303,STALE
2026-08-11 04:15:00+00:00,183.7695,183.7755,183.7445,183.7675,1658,61157303,STALE
2026-08-11 04:30:00+00:00,183.768,183.7955,183.7515,183.7575,3214,60257303,STALE
2026-08-11 04:45:00+00:00,183.7585,183.794,183.75,183.751,2910,59357303,STALE
2026-08-11 05:00:00+00:00,183.7515,183.7585,183.7235,183.7325,2099,58457303,STALE
2026-08-11 05:15:00+00:00,183.733,183.745,183.7155,183.724,2429,57557303,STALE
2026-08-11 05:30:00+00:00,183.7245,183.7425,183.69,183.712,2889,56657303,STALE
2026-08-11 05:45:00+00:00,183.7125,183.7455,183.7055,183.7425,2652,55757303,STALE
2026-08-11 06:00:00+00:00,183.743,183.769,183.717,183.7495,3788,54857303,STALE
2026-08-11 06:15:00+00:00,183.749,183.749,183.6545,183.6885,4645,53957303,STALE
2026-08-11 06:30:00+00:00,183.6875,183.7105,183.644,183.6915,4179,53057303,STALE
2026-08-11 06:45:00+00:00,183.691,183.6915,183.639,183.68,4324,52157303,STALE
2026-08-11 07:00:00+00:00,183.681,183.836,183.678,183.8065,4838,51257303,STALE
2026-08-11 07:15:00+00:00,183.807,183.8225,183.749,183.761,3811,50357303,STALE
2026-08-11 07:30:00+00:00,183.76,183.789,183.72,183.738,3343,49457303,STALE
2026-08-11 07:45:00+00:00,183.7375,183.7965,183.7225,183.7785,4206,48557303,STALE
2026-08-11 08:00:00+00:00,183.778,183.7925,183.729,183.778,4000,47657303,STALE
2026-08-11 08:15:00+00:00,183.7775,183.787,183.735,183.7385,3422,46757303,STALE
2026-08-11 08:30:00+00:00,183.739,183.817,183.7305,183.8145,4174,45857303,STALE
2026-08-11 08:45:00+00:00,183.814,183.8545,183.81,183.8395,2944,44957303,STALE
2026-08-11 09:00:00+00:00,183.84,183.873,183.811,183.8155,3196,44057303,STALE
2026-08-11 09:15:00+00:00,183.8165,183.826,183.7615,183.7745,3340,43157303,STALE
2026-08-11 09:30:00+00:00,183.775,183.777,183.742,183.7635,3087,42257303,STALE
2026-08-11 09:45:00+00:00,183.763,183.779,183.738,183.768,2931,41357303,STALE
2026-08-11 10:00:00+00:00,183.7675,183.8225,183.7525,183.7935,3080,40457303,STALE
2026-08-11 10:15:00+00:00,183.7935,183.7965,183.68,183.734,4697,39557303,STALE
2026-08-11 10:30:00+00:00,183.7335,183.7625,183.7135,183.7155,3048,38657303,STALE
2026-08-11 10:45:00+00:00,183.715,183.741,183.6605,183.6965,2892,37757303,STALE
2026-08-11 11:00:00+00:00,183.697,183.697,183.6045,183.626,8332,36857303,STALE
2026-08-11 11:15:00+00:00,183.6255,183.69,183.6035,183.685,4002,35957303,STALE
2026-08-11 11:30:00+00:00,183.6855,183.693,183.637,183.6695,3176,35057303,STALE
2026-08-11 11:45:00+00:00,183.669,183.729,183.665,183.7205,3377,34157303,STALE
2026-08-11 12:00:00+00:00,183.72,183.763,183.7005,183.755,5099,33257303,STALE
2026-08-11 12:15:00+00:00,183.7545,183.8285,183.7465,183.798,5529,32357303,STALE
2026-08-11 12:30:00+00:00,183.7995,183.834,183.772,183.7995,4378,31457303,STALE
2026-08-11 12:45:00+00:00,183.7995,183.852,183.7875,183.823,3850,30557303,STALE
2026-08-11 13:00:00+00:00,183.8235,183.833,183.737,183.7715,4516,29657303,STALE
2026-08-11 13:15:00+00:00,183.7715,183.8025,183.74,183.768,4743,28757303,STALE
2026-08-11 13:30:00+00:00,183.7675,183.822,183.742,183.814,4951,27857303,STALE
2026-08-11 13:45:00+00:00,183.8145,183.8595,183.801,183.8205,5122,26957303,STALE
2026-08-11 14:00:00+00:00,183.821,183.8495,183.793,183.8195,4604,26057303,STALE
2026-08-11 14:15:00+00:00,183.82,183.8345,183.7545,183.761,4175,25157303,STALE
2026-08-11 14:30:00+00:00,183.7605,183.799,183.7535,183.7855,3353,24257303,STALE
2026-08-11 14:45:00+00:00,183.7855,183.8105,183.7655,183.8,4859,23357303,STALE
2026-08-11 15:00:00+00:00,183.7995,183.811,183.742,183.743,4506,22457303,STALE
2026-08-11 15:15:00+00:00,183.7425,183.8005,183.733,183.798,3413,21557303,STALE
2026-08-11 15:30:00+00:00,183.7975,183.827,183.7835,183.8255,5086,20657303,STALE
2026-08-11 15:45:00+00:00,183.826,183.8455,183.8115,183.8255,2843,19757303,STALE
2026-08-11 16:00:00+00:00,183.826,183.8275,183.7695,183.774,3270,18857303,STALE
2026-08-11 16:15:00+00:00,183.7735,183.788,183.7315,183.7775,2664,17957303,STALE
2026-08-11 16:30:00+00:00,183.7765,183.806,183.769,183.7795,3080,17057303,STALE
2026-08-11 16:45:00+00:00,183.7795,183.7985,183.7695,183.7885,2940,16157303,STALE
2026-08-11 17:00:00+00:00,183.789,183.803,183.7565,183.7725,2818,15257303,STALE
2026-08-11 17:15:00+00:00,183.772,183.8175,183.7705,183.795,1910,14357303,STALE
2026-08-11 17:30:00+00:00,183.795,183.829,183.794,183.8095,1516,13457303,STALE
2026-08-11 17:45:00+00:00,183.8095,183.8175,183.8025,183.8155,908,12557303,STALE
2026-08-11 18:00:00+00:00,183.816,183.825,183.7995,183.8045,1265,11657303,STALE
2026-08-11 18:15:00+00:00,183.8035,183.8275,183.794,183.814,1449,10757303,STALE
2026-08-11 18:30:00+00:00,183.8145,183.8445,183.81,183.8315,2182,9857303,STALE
2026-08-11 18:45:00+00:00,183.8325,183.847,183.791,183.8015,2507,8957303,STALE
2026-08-11 19:00:00+00:00,183.802,183.8405,183.801,183.821,2098,8057303,STALE
2026-08-11 19:15:00+00:00,183.821,183.856,183.8165,183.855,1572,7157303,STALE
2026-08-11 19:30:00+00:00,183.8555,183.8565,183.8245,183.8315,1978,6257303,STALE
2026-08-11 19:45:00+00:00,183.832,183.8735,183.819,183.8605,2514,5357303,STALE
2026-08-11 20:00:00+00:00,183.86,183.8875,183.847,183.8565,1149,4457303,STALE
2026-08-11 20:15:00+00:00,183.857,183.8575,183.8285,183.8425,630,3557303,STALE
2026-08-11 20:30:00+00:00,183.842,183.917,183.841,183.8955,1096,2657303,STALE
2026-08-11 20:45:00+00:00,183.896,183.911,183.836,183.854,2450,1757303,FRESH
