timestamp,open,high,low,close,volume,age,quality
2026-08-20 12:30:00+00:00,158.668,158.7815,158.6405,158.776,1747,75062001,STALE
2026-08-20 12:35:00+00:00,158.7765,158.7765,158.728,158.7365,2056,74762001,STALE
2026-08-20 12:40:00+00:00,158.736,158.737,158.6455,158.647,2022,74462001,STALE
2026-08-20 12:45:00+00:00,158.6475,158.699,158.61,158.611,2134,74162001,STALE
2026-08-20 12:50:00+00:00,158.6115,158.669,158.6,158.663,1963,73862001,STALE
2026-08-20 12:55:00+00:00,158.6625,158.6715,158.6225,158.6415,2127,73562001,STALE
2026-08-20 13:00:00+00:00,158.642,158.642,158.5535,158.574,3027,73262001,STALE
2026-08-20 13:05:00+00:00,158.573,158.6005,158.5415,158.579,2072,72962001,STALE
2026-08-20 13:10:00+00:00,158.5785,158.6425,158.554,158.6335,2342,72662001,STALE
2026-08-20 13:15:00+00:00,158.6325,158.6525,158.5725,158.575,1697,72362001,STALE
2026-08-20 13:20:00+00:00,158.5745,158.6175,158.5635,158.61,1736,72062001,STALE
2026-08-20 13:25:00+00:00,158.6095,158.6605,158.608,158.625,1882,71762001,STALE
2026-08-20 13:30:00+00:00,158.6255,158.725,158.599,158.7055,3317,71462001,STALE
2026-08-20 13:35:00+00:00,158.705,158.707,158.616,158.655,3345,71162001,STALE
2026-08-20 13:40:00+00:00,158.656,158.6955,158.6525,158.683,2972,70862001,STALE
2026-08-20 13:45:00+00:00,158.6825,158.815,158.6725,158.8135,2667,70562001,STALE
2026-08-20 13:50:00+00:00,158.814,158.814,158.7485,158.753,1954,70262001,STALE
2026-08-20 13:55:00+00:00,158.753,158.8365,158.7345,158.828,1708,69962001,STALE
2026-08-20 14:00:00+00:00,158.8275,158.877,158.785,158.871,2145,69662001,STALE
2026-08-20 14:05:00+00:00,158.8705,158.8915,158.845,158.8625,2561,69362001,STALE
2026-08-20 14:10:00+00:00,158.863,158.8785,158.8265,158.865,2111,69062001,STALE
2026-08-20 14:15:00+00:00,158.8645,158.895,158.832,158.8415,1879,68762001,STALE
2026-08-20 14:20:00+00:00,158.842,158.8425,158.7415,158.7745,1999,68462001,STALE
2026-08-20 14:25:00+00:00,158.7735,158.825,158.757,158.7915,2140,68162001,STALE
2026-08-20 14:30:00+00:00,158.791,158.818,158.776,158.778,1266,67862001,STALE
2026-08-20 14:35:00+00:00,158.7775,158.794,158.747,158.7925,1246,67562001,STALE
2026-08-20 14:40:00+00:00,158.792,158.8015,158.7525,158.754,1733,67262001,STALE
2026-08-20 14:45:00+00:00,158.755,158.775,158.721,158.721,1838,66962001,STALE
2026-08-20 14:50:00+00:00,158.7205,158.772,158.714,158.7535,1656,66662001,STALE
2026-08-20 14:55:00+00:00,158.754,158.763,158.71,158.727,2299,66362001,STALE
2026-08-20 15:00:00+00:00,158.7275,158.741,158.5795,158.6615,5752,66062001,STALE
2026-08-20 15:05:00+00:00,158.6615,158.7945,158.499,158.7495,5011,65762001,STALE
2026-08-20 15:10:00+00:00,158.75,158.823,158.73,158.749,3870,65462001,STALE
2026-08-20 15:15:00+00:00,158.7485,158.7965,158.7455,158.771,2469,65162001,STALE
2026-08-20 15:20:00+00:00,158.7705,158.852,158.7455,158.8195,2600,64862001,STALE
2026-08-20 15:25:00+00:00,158.82,158.859,158.7605,158.7605,2290,64562001,STALE
2026-08-20 15:30:00+00:00,158.76,158.8365,158.7535,158.8355,2527,64262001,STALE
2026-08-20 15:35:00+00:00,158.836,158.911,158.8275,158.891,1835,63962001,STALE
2026-08-20 15:40:00+00:00,158.8905,158.978,158.8735,158.966,2108,63662001,STALE
2026-08-20 15:45:00+00:00,158.9665,158.9705,158.9035,158.926,2110,63362001,STALE
2026-08-20 15:50:00+00:00,158.9265,158.943,158.8995,158.92,2019,63062001,STALE
2026-08-20 15:55:00+00:00,158.9195,158.93,158.8485,158.853,1764,62762001,STALE
2026-08-20 16:00:00+00:00,158.8535,158.8925,158.8405,158.89,1918,62462001,STALE
2026-08-20 16:05:00+00:00,158.8905,158.924,158.881,158.9135,1167,62162001,STALE
2026-08-20 16:10:00+00:00,158.913,158.965,158.9075,158.965,1040,61862001,STALE
2026-08-20 16:15:00+00:00,158.9645,158.984,158.9605,158.9645,2554,61562001,STALE
2026-08-20 16:20:00+00:00,158.964,159.007,158.958,158.987,3147,61262001,STALE
2026-08-20 16:25:00+00:00,158.9875,159.0995,158.9865,159.078,2113,60962001,STALE
2026-08-20 16:30:00+00:00,159.0785,159.094,159.0465,159.048,1898,60662001,STALE
2026-08-20 16:35:00+00:00,159.0475,159.073,159.021,159.063,1096,60362001,STALE
2026-08-20 16:40:00+00:00,159.0625,159.081,159.031,159.0475,1128,60062001,STALE
2026-08-20 16:45:00+00:00,159.048,159.057,158.996,158.9965,719,59762001,STALE
2026-08-20 16:50:00+00:00,158.996,159.0465,158.9865,159.0395,875,59462001,STALE
2026-08-20 16:55:00+00:00,159.04,159.0445,158.9965,159.0,1295,59162001,STALE
2026-08-20 17:00:00+00:00,158.9995,159.003,158.9705,158.9785,1047,58862001,STALE
2026-08-20 17:05:00+00:00,158.9775,159.012,158.9705,159.0025,770,58562001,STALE
2026-08-20 17:10:00+00:00,159.0025,159.0365,159.0015,159.031,604,58262001,STALE
2026-08-20 17:15:00+00:00,159.0305,159.047,159.009,159.043,594,57962001,STALE
2026-08-20 17:20:00+00:00,159.044,159.0575,159.0415,159.0555,534,57662001,STALE
2026-08-20 17:25:00+00:00,159.0555,159.0585,159.0295,159.031,591,57362001,STALE
2026-08-20 17:30:00+00:00,159.0315,159.0725,159.0315,159.0625,745,57062001,STALE
