timestamp,close,regime,adx_score,volatility_ratio,confidence
2026-07-10 15:55:00,1.143775,TRENDING_UP,91.7283,0.000281,100
2026-07-10 15:55:00,1.143775,TRENDING_UP,92.1337,0.000284,100
2026-07-10 15:55:00,1.143775,TRENDING_UP,92.5102,0.000286,100
2026-07-10 16:00:00,1.14374,TRENDING_UP,92.8597,0.00028,100
2026-07-10 16:00:00,1.14374,TRENDING_UP,93.1843,0.000275,100
2026-07-10 16:00:00,1.14374,TRENDING_UP,93.4857,0.00027,100
2026-07-10 16:00:00,1.14374,TRENDING_UP,93.7656,0.000265,100
2026-07-10 16:00:00,1.14374,TRENDING_UP,94.0255,0.000261,100
2026-07-10 16:00:00,1.14374,TRENDING_UP,94.2668,0.000257,100
2026-07-10 16:00:00,1.14374,TRENDING_UP,94.4909,0.000253,100
2026-07-10 16:00:00,1.14374,TRENDING_UP,94.699,0.00025,100
2026-07-10 16:00:00,1.14374,TRENDING_UP,94.8922,0.000247,100
2026-07-10 16:00:00,1.14374,TRENDING_UP,95.0716,0.000244,100
2026-07-10 16:05:00,1.143835,TRENDING_UP,95.2589,0.000242,100
2026-07-10 16:05:00,1.143835,TRENDING_UP,95.4328,0.00024,100
2026-07-10 16:05:00,1.143835,TRENDING_UP,95.5944,0.000238,100
2026-07-10 16:05:00,1.143835,TRENDING_UP,95.7443,0.000236,100
2026-07-10 16:05:00,1.143835,TRENDING_UP,95.8836,0.000235,100
2026-07-10 16:05:00,1.143835,TRENDING_UP,96.0129,0.000233,100
2026-07-10 16:05:00,1.143835,TRENDING_UP,96.133,0.000232,100
2026-07-10 16:05:00,1.143835,TRENDING_UP,96.2445,0.000231,100
2026-07-10 16:05:00,1.143835,TRENDING_UP,96.348,0.000229,100
2026-07-10 16:05:00,1.143835,TRENDING_UP,96.4442,0.000228,100
2026-07-10 16:05:00,1.143835,TRENDING_UP,96.5335,0.000227,100
2026-07-10 16:10:00,1.143975,TRENDING_UP,96.7393,0.000233,100
2026-07-10 16:10:00,1.143975,TRENDING_UP,96.9305,0.000238,100
2026-07-10 16:10:00,1.143975,TRENDING_UP,97.108,0.000243,100
2026-07-10 16:10:00,1.143975,TRENDING_UP,97.2728,0.000247,100
2026-07-10 16:10:00,1.143975,TRENDING_UP,97.4259,0.000252,100
2026-07-10 16:10:00,1.143975,TRENDING_UP,97.568,0.000255,100
2026-07-10 16:10:00,1.143975,TRENDING_UP,97.7,0.000259,100
2026-07-10 16:10:00,1.143975,TRENDING_UP,97.8225,0.000262,100
2026-07-10 16:10:00,1.143975,TRENDING_UP,97.9363,0.000266,100
2026-07-10 16:10:00,1.143975,TRENDING_UP,98.0419,0.000268,100
2026-07-10 16:10:00,1.143975,TRENDING_UP,98.1401,0.000271,100
2026-07-10 16:10:00,1.143975,TRENDING_UP,98.2312,0.000274,100
2026-07-10 16:15:00,1.14373,TRENDING_UP,98.3347,0.000281,100
2026-07-10 16:15:00,1.14373,TRENDING_DOWN,98.4308,0.000287,100
2026-07-10 16:15:00,1.14373,TRENDING_DOWN,98.5201,0.000293,100
2026-07-10 16:15:00,1.14373,TRENDING_DOWN,98.603,0.000299,100
2026-07-10 16:15:00,1.14373,TRENDING_DOWN,98.68,0.000304,100
2026-07-10 16:15:00,1.14373,TRENDING_DOWN,98.7515,0.000309,100
2026-07-10 16:15:00,1.14373,TRENDING_DOWN,98.8179,0.000313,100
2026-07-10 16:15:00,1.14373,TRENDING_DOWN,98.8795,0.000317,100
2026-07-10 16:15:00,1.14373,TRENDING_DOWN,98.9367,0.000321,100
2026-07-10 16:15:00,1.14373,TRENDING_DOWN,98.9899,0.000325,100
2026-07-10 16:15:00,1.14373,TRENDING_DOWN,99.0392,0.000328,100
2026-07-10 16:15:00,1.14373,TRENDING_DOWN,99.085,0.000331,100
2026-07-10 16:15:00,1.14373,TRENDING_DOWN,99.1276,0.000334,100
2026-07-10 16:20:00,1.14383,TRENDING_DOWN,93.9251,0.000328,100
2026-07-10 16:20:00,1.14383,TRENDING_DOWN,89.0942,0.000322,100
2026-07-10 16:20:00,1.14383,TRENDING_DOWN,84.6084,0.000317,100
2026-07-10 16:20:00,1.14383,TRENDING_DOWN,80.443,0.000312,100
2026-07-10 16:20:00,1.14383,TRENDING_UP,76.5752,0.000308,100
2026-07-10 16:20:00,1.14383,TRENDING_UP,72.9836,0.000304,100
2026-07-10 16:20:00,1.14383,TRENDING_UP,69.6485,0.0003,100
2026-07-10 16:20:00,1.14383,TRENDING_UP,66.5517,0.000296,100
2026-07-10 16:20:00,1.14383,TRENDING_UP,63.6761,0.000293,100
2026-07-10 16:20:00,1.14383,TRENDING_UP,61.0059,0.00029,100
2026-07-10 16:20:00,1.14383,TRENDING_UP,58.5264,0.000287,100
2026-07-10 16:20:00,1.14383,TRENDING_UP,56.224,0.000284,100
2026-07-10 16:20:00,1.14383,TRENDING_UP,54.086,0.000282,100
2026-07-10 16:20:00,1.14383,TRENDING_UP,52.1008,0.000279,100
2026-07-10 16:25:00,1.143925,TRENDING_UP,51.4924,0.000268,100
2026-07-10 16:25:00,1.143925,TRENDING_UP,50.9275,0.000257,100
2026-07-10 16:25:00,1.143925,TRENDING_UP,50.4029,0.000247,100
2026-07-10 16:25:00,1.143925,TRENDING_UP,49.9158,0.000238,100
2026-07-10 16:25:00,1.143925,TRENDING_UP,49.4635,0.000229,100
2026-07-10 16:25:00,1.143925,TRENDING_UP,49.0434,0.000221,100
2026-07-10 16:25:00,1.143925,TRENDING_UP,48.6534,0.000214,100
2026-07-10 16:25:00,1.143925,TRENDING_UP,48.2913,0.000207,100
2026-07-10 16:25:00,1.143925,TRENDING_UP,47.955,0.000201,100
2026-07-10 16:25:00,1.143925,TRENDING_UP,47.6427,0.000195,100
2026-07-10 16:25:00,1.143925,TRENDING_UP,47.3528,0.000189,100
2026-07-10 16:25:00,1.143925,TRENDING_UP,47.0835,0.000184,100
2026-07-10 16:25:00,1.143925,TRENDING_UP,46.8335,0.00018,100
2026-07-10 16:25:00,1.143925,TRENDING_UP,46.6013,0.000175,100
2026-07-10 16:25:00,1.143925,TRENDING_UP,46.3858,0.000171,100
2026-07-10 16:30:00,1.14368,TRENDING_DOWN,47.6817,0.000176,100
2026-07-10 16:30:00,1.14368,TRENDING_DOWN,48.8851,0.00018,100
2026-07-10 16:30:00,1.14368,TRENDING_DOWN,50.0025,0.000184,100
2026-07-10 16:30:00,1.14368,TRENDING_DOWN,51.0401,0.000188,100
2026-07-10 16:30:00,1.14368,TRENDING_DOWN,52.0035,0.000191,100
2026-07-10 16:30:00,1.14368,TRENDING_DOWN,52.8982,0.000194,100
2026-07-10 16:30:00,1.14368,TRENDING_DOWN,53.729,0.000197,100
2026-07-10 16:30:00,1.14368,TRENDING_DOWN,54.5004,0.0002,100
2026-07-10 16:30:00,1.14368,TRENDING_DOWN,55.2167,0.000203,100
2026-07-10 16:30:00,1.14368,TRENDING_DOWN,55.8819,0.000205,100
2026-07-10 16:30:00,1.14368,TRENDING_DOWN,56.4995,0.000207,100
2026-07-10 16:30:00,1.14368,TRENDING_DOWN,57.073,0.000209,100
2026-07-10 16:30:00,1.14368,TRENDING_DOWN,57.6056,0.000211,100
2026-07-10 16:30:00,1.14368,TRENDING_DOWN,58.1001,0.000213,100
2026-07-10 16:30:00,1.14368,TRENDING_DOWN,58.5593,0.000215,100
2026-07-10 16:30:00,1.14368,TRENDING_DOWN,58.9857,0.000216,100
2026-07-10 16:35:00,1.143675,TRENDING_DOWN,60.9463,0.000213,100
2026-07-10 16:35:00,1.143675,TRENDING_DOWN,62.7668,0.000211,100
2026-07-10 16:35:00,1.143675,TRENDING_DOWN,64.4573,0.000208,100
2026-07-10 16:35:00,1.143675,TRENDING_DOWN,66.027,0.000206,100
2026-07-10 16:35:00,1.143675,TRENDING_DOWN,67.4846,0.000203,100
2026-07-10 16:35:00,1.143675,TRENDING_DOWN,68.8382,0.000201,100
2026-07-10 16:35:00,1.143675,TRENDING_DOWN,70.095,0.000199,100
2026-07-10 16:35:00,1.143675,TRENDING_DOWN,71.262,0.000198,100
2026-07-10 16:35:00,1.143675,TRENDING_DOWN,72.3457,0.000196,100
2026-07-10 16:35:00,1.143675,TRENDING_DOWN,73.352,0.000195,100
2026-07-10 16:35:00,1.143675,TRENDING_DOWN,74.2864,0.000193,100
2026-07-10 16:35:00,1.143675,TRENDING_DOWN,75.1541,0.000192,100
2026-07-10 16:35:00,1.143675,TRENDING_DOWN,75.9598,0.000191,100
2026-07-10 16:35:00,1.143675,TRENDING_DOWN,76.7079,0.00019,100
2026-07-10 16:35:00,1.143675,TRENDING_DOWN,77.4026,0.000188,100
2026-07-10 16:35:00,1.143675,TRENDING_DOWN,78.0477,0.000188,100
2026-07-10 16:35:00,1.143675,TRENDING_DOWN,78.6467,0.000187,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,79.9135,0.000196,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,81.0898,0.000204,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,82.1821,0.000212,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,83.1964,0.00022,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,84.1382,0.000226,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,85.0127,0.000233,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,85.8248,0.000239,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,86.5789,0.000244,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,87.2791,0.000249,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,87.9293,0.000254,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,88.5331,0.000258,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,89.0937,0.000262,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,89.6143,0.000266,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,90.0977,0.000269,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,90.5466,0.000273,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,90.9634,0.000276,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,91.3504,0.000278,100
2026-07-10 16:40:00,1.14346,TRENDING_DOWN,91.7098,0.000281,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,92.2183,0.000272,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,92.6904,0.000263,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,93.1288,0.000255,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,93.5359,0.000247,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,93.9139,0.00024,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,94.265,0.000234,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,94.5909,0.000227,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,94.8936,0.000222,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,95.1746,0.000217,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,95.4356,0.000212,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,95.6779,0.000207,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,95.9029,0.000203,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,96.1119,0.000199,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,96.3059,0.000196,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,96.4861,0.000192,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,96.6534,0.000189,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,96.8087,0.000186,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,96.953,0.000184,100
2026-07-10 16:45:00,1.143395,TRENDING_DOWN,97.0869,0.000181,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,97.2828,0.000192,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,97.4646,0.000203,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,97.6334,0.000212,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,97.7902,0.000221,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,97.9358,0.000229,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,98.071,0.000237,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,98.1966,0.000244,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,98.3131,0.000251,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,98.4214,0.000257,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,98.5219,0.000263,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,98.6152,0.000268,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,98.7019,0.000273,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,98.7824,0.000277,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,98.8571,0.000282,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,98.9265,0.000286,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,98.9909,0.000289,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,99.0508,0.000293,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,99.1063,0.000296,100
2026-07-10 16:50:00,1.14326,TRENDING_DOWN,99.1579,0.000299,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.2158,0.000301,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.2695,0.000302,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.3193,0.000304,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.3657,0.000305,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.4087,0.000306,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.4486,0.000308,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.4857,0.000309,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.5201,0.00031,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.5521,0.000311,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.5818,0.000312,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.6094,0.000313,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.635,0.000313,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.6587,0.000314,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.6808,0.000315,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.7013,0.000316,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.7203,0.000316,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.738,0.000317,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.7544,0.000317,100
2026-07-10 16:55:00,1.142945,TRENDING_DOWN,99.7696,0.000318,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.7854,0.000317,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.8001,0.000317,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.8137,0.000316,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.8264,0.000316,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.8381,0.000315,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.849,0.000315,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.8591,0.000315,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.8685,0.000315,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.8772,0.000314,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.8854,0.000314,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.8929,0.000314,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.8999,0.000314,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.9064,0.000313,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.9124,0.000313,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.918,0.000313,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.9232,0.000313,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.928,0.000313,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.9325,0.000312,100
2026-07-10 17:00:00,1.1428,TRENDING_DOWN,99.9366,0.000312,100
2026-07-10 17:05:00,1.14264,TRENDING_DOWN,99.941,0.000305,100
2026-07-10 17:05:00,1.14264,TRENDING_DOWN,99.945,0.000298,100
