timestamp,open,high,low,close,volume
2026-06-19 04:20:00,161.392,161.3985,161.3615,161.369,410
2026-06-19 04:25:00,161.369,161.392,161.364,161.3855,333
2026-06-19 04:30:00,161.385,161.385,161.358,161.3605,472
2026-06-19 04:35:00,161.361,161.3875,161.3575,161.3765,847
2026-06-19 04:40:00,161.376,161.377,161.359,161.361,559
2026-06-19 04:45:00,161.362,161.375,161.348,161.364,772
2026-06-19 04:50:00,161.3635,161.3725,161.3575,161.3665,740
2026-06-19 04:55:00,161.367,161.386,161.339,161.377,566
2026-06-19 05:00:00,161.3775,161.397,161.3385,161.3645,1080
2026-06-19 05:05:00,161.365,161.406,161.364,161.385,855
2026-06-19 05:10:00,161.385,161.41,161.37,161.407,832
2026-06-19 05:15:00,161.4065,161.4595,161.3995,161.434,692
2026-06-19 05:20:00,161.433,161.4375,161.422,161.425,545
2026-06-19 05:25:00,161.4255,161.4385,161.396,161.401,1091
2026-06-19 05:30:00,161.4005,161.4175,161.384,161.41,760
2026-06-19 05:35:00,161.4105,161.4105,161.3785,161.401,760
2026-06-19 05:40:00,161.4005,161.4115,161.374,161.396,726
2026-06-19 05:45:00,161.3945,161.4025,161.3825,161.387,914
2026-06-19 05:50:00,161.3865,161.387,161.3515,161.352,753
2026-06-19 05:55:00,161.352,161.3585,161.332,161.3375,561
2026-06-19 06:00:00,161.338,161.363,161.3225,161.3385,1198
2026-06-19 06:05:00,161.3385,161.3655,161.3285,161.329,970
2026-06-19 06:10:00,161.3285,161.3615,161.3015,161.3435,1257
2026-06-19 06:15:00,161.344,161.3715,161.344,161.367,973
2026-06-19 06:20:00,161.3675,161.3885,161.3535,161.362,1100
2026-06-19 06:25:00,161.3615,161.362,161.336,161.35,1187
2026-06-19 06:30:00,161.3495,161.402,161.344,161.367,1489
2026-06-19 06:35:00,161.3675,161.38,161.348,161.354,797
2026-06-19 06:40:00,161.3535,161.366,161.3305,161.3575,830
2026-06-19 06:45:00,161.3575,161.36,161.279,161.294,703
2026-06-19 06:50:00,161.293,161.3075,161.2925,161.302,592
2026-06-19 06:55:00,161.3025,161.3105,161.2685,161.2755,1052
2026-06-19 07:00:00,161.2765,161.2815,161.248,161.248,1289
2026-06-19 07:05:00,161.249,161.285,161.241,161.2705,1145
2026-06-19 07:10:00,161.27,161.285,161.264,161.27,810
2026-06-19 07:15:00,161.2705,161.318,161.263,161.31,1085
2026-06-19 07:20:00,161.3105,161.344,161.3055,161.344,864
2026-06-19 07:25:00,161.344,161.354,161.2935,161.305,857
2026-06-19 07:30:00,161.3045,161.322,161.2905,161.305,1159
2026-06-19 07:35:00,161.304,161.321,161.2985,161.3115,827
2026-06-19 07:40:00,161.311,161.3225,161.295,161.3135,890
2026-06-19 07:45:00,161.3135,161.318,161.2975,161.3125,634
2026-06-19 07:50:00,161.312,161.3135,161.279,161.3105,1020
2026-06-19 07:55:00,161.31,161.3465,161.31,161.3175,1214
2026-06-19 08:00:00,161.3185,161.3265,161.2425,161.25,1518
2026-06-19 08:05:00,161.2505,161.2875,161.2475,161.274,1106
2026-06-19 08:10:00,161.2735,161.307,161.259,161.307,938
2026-06-19 08:15:00,161.3075,161.314,161.2835,161.286,776
2026-06-19 08:20:00,161.288,161.301,161.268,161.2785,558
2026-06-19 08:25:00,161.278,161.3065,161.277,161.3055,639
2026-06-19 08:30:00,161.305,161.312,161.293,161.3025,811
2026-06-19 08:35:00,161.302,161.32,161.282,161.319,722
2026-06-19 08:40:00,161.3185,161.3205,161.28,161.299,786
2026-06-19 08:45:00,161.2985,161.299,161.2825,161.2855,468
2026-06-19 08:50:00,161.2855,161.309,161.282,161.294,385
2026-06-19 08:55:00,161.294,161.3005,161.283,161.287,576
2026-06-19 09:00:00,161.2865,161.3285,161.286,161.3115,687
2026-06-19 09:05:00,161.3115,161.314,161.2805,161.3075,572
2026-06-19 09:10:00,161.307,161.309,161.2815,161.2845,594
2026-06-19 09:15:00,161.285,161.2965,161.28,161.2855,740
2026-06-19 09:20:00,161.285,161.303,161.2805,161.2895,574
2026-06-19 09:25:00,161.289,161.291,161.27,161.286,704
2026-06-19 09:30:00,161.2865,161.2865,161.244,161.2575,825
2026-06-19 09:35:00,161.258,161.2705,161.254,161.2605,886
2026-06-19 09:40:00,161.26,161.26,161.2355,161.247,774
2026-06-19 09:45:00,161.2475,161.274,161.2475,161.271,445
