timestamp,symbol,session,price,data_quality,m1_ema5,m1_ema20,m1_rsi,m1_stoch_k,m1_stoch_d,m1_macd,m1_macd_signal,m5_bias,m5_ema5,m5_ema10,m5_ema20,m5_ema50,m5_bb_upper,m5_bb_lower,m5_bb_width,m5_rsi,m5_stoch_k,m5_stoch_d,m5_macd,m5_macd_signal,m5_adx,m5_atr,m5_support,m5_resistance,m5_pivot,m15_bias,market_state,volatility_regime,news_impact,expected_vol_pct,pa_pattern,pa_candle_bias,pa_body_strength,pa_momentum,pa_move_quality,pa_trap_alert,tick_volume,volume_momentum,volume_vs_avg,trend_direction,trend_type,trend_strength,mtf_alignment_pct,bos_detected,exhaustion_risk_pct,tradeable,confidence_score,stability_score,quality_score,risk_level,suggested_action,suggested_expiry
2026-06-26 09:09:02,EURUSD,ASIAN,1.13623,HIGH,1.136193,1.136045,75.66,90.96,90.76,5.2e-05,-5e-06,BEARISH,1.136033,1.13612,1.136252,1.136508,1.136978,1.13571,0.001268,44.57,23.99,14.15,-0.000157,-0.000118,26.1,0.000253,1.13564,1.136915,1.136103,BEARISH,SIDEWAY_RANGE,NORMAL,LOW,0.022,NONE,BULLISH,WEAK,NEUTRAL,CHOPPY,True,502,RISING,0.902,DOWN,CHOPPY,80,50,False,30,True,0,50,50,MEDIUM,WAIT,5
2026-06-26 09:11:02,EURUSD,ASIAN,1.136125,HIGH,1.136168,1.136065,69.28,83.72,87.77,5.3e-05,1.6e-05,BEARISH,1.136083,1.136132,1.136246,1.136496,1.136963,1.135695,0.001269,41.12,36.34,23.92,-0.000143,-0.000123,25.72,0.000246,1.13564,1.136915,1.13621,BEARISH,SIDEWAY_RANGE,NORMAL,LOW,0.022,SHOOTING_STAR,BULLISH,WEAK,NEUTRAL,CHOPPY,True,531,RISING,0.962,DOWN,CORRECTIVE,60,50,False,30,True,0,50,50,MEDIUM,WAIT,5
